role,n,time
P,1,166404
P,7,725949
P,6449,824256
P,1245,825470
P,2,1101679
P,5,1185671
P,5,928920
P,7,963396
P,2,1034560
P,8,1019419
P,8,1029830
P,6,1080818
P,3,981816
P,3053,1218735
P,6,1147686
P,6,1282557
P,1,1163743
P,6526,1227910
P,5,5896464
C,5,208392
C,657,353044
C,9,603788
C,10,637355
C,5149,692769
C,7,800154
C,2296,875279
P,9059,75141694
C,1,954674
C,865,970643
C,8406,1158861
P,6474,75743050
C,2255,1347310
P,2935,75796500
C,9,1399360
P,8,76023995
C,8,1679204
C,5,1742969
P,4,76115363
P,4,76356266
P,5,76577639
C,4,2065635
C,9,2247708
P,10,76938820
C,2222,2616287
P,8,77105571
C,2572,2512621
P,707,77195094
C,5,3103186
P,1,77769246
C,8,3250549
P,2,77834835
C,8,3517464
P,10,78531365
C,9,4107067
P,2,78739966
C,1,4209314
C,5290,4276799
C,4,4401751
P,8878,79025848
C,404,4508337
P,4,79169733
P,9,79422829
C,2,4598886
C,9291,4507834
P,7321,79322147
C,6,4896422
P,1762,79690149
C,8,4997765
C,6210,5055039
C,9,4604942
P,7586,80511679
C,9784,5436484
C,4,5537917
P,8,80577878
C,2,5582955
P,6,80759815
P,6,80926028
P,3,80940477
C,6,5800475
C,5,11716475
P,1,87075543
C,9,11937422
C,5,11971893
P,4449,87136762
P,8,87786381
P,4,87831246
C,9,12432201
C,9,12325829
P,8,88209715
C,3862,12788277
P,2,88807008
C,7,13698809
P,3,89345556
C,2352,13866031
P,3,89544991
C,10,14075407
P,9,89906849
C,2,14452928
P,3,90353017
C,3,14851970
P,9,90420702
P,2,90493914
P,4,90610140
P,5,91062567
P,1438,91589025
C,5064,17020968
P,8,92422352
C,8,17198848
P,7813,92686036
C,2,17667298
P,4,92999269
C,1,17863981
P,1,93192023
C,3,17994619
P,2,93282613
C,8,18031619
P,1,93518740
C,2,18301548
P,5,93791141
C,5,18448423
P,7,93871820
C,9,18970451
P,1,94320819
C,7,19205734
P,2,94579913
C,10,19354385
P,9,94810230
C,9,19724102
P,1,95215502
C,4,20012645
P,8,95476820
C,6,20580639
P,3767,96305580
C,8,21105013
P,5,96623963
C,7,21483813
P,2,96916315
C,10,21743277
P,4,97758660
C,3,22411476
P,5331,98068632
C,6,22619660
P,5,98222004
C,2247,22731726
P,5,98482899
C,10,23466927
P,3965,99031836
C,4229,23710128
P,1,99378876
C,4,23911243
P,905,99622220
C,4,24144633
P,7,99831021
C,7,24370573
P,7,100387920
C,3,25074983
P,9,100890555
C,7,25495199
P,8,101380280
C,9846,26035945
P,4959,101637259
C,8,26285978
P,2199,101949348
C,7,26631433
P,2,102140154
C,10,26945253
P,4481,102341972
C,3094,27060581
C,4356,27096812
P,7711,102888953
C,3,27366467
C,3537,34502530
C,10,34584731
C,7,34741414
C,1,34811683
C,5,34776378
C,7,34859015
C,5,34944744
C,1,34991280
C,5346,35096691
P,8920,111527493
C,5,35645060
P,7,112254043
C,9,35936555
C,5,36016088
C,10,36015185
C,3,36118003
C,2,36107786
C,3469,36230112
C,7,36338813
C,5702,30837847
P,5176,113414036
C,1,31007480
P,5,113774796
C,2113,31344481
P,7542,114044823
C,2551,31625050
P,5,114359485
C,4,31838119
P,2281,114634960
C,1855,32391858
P,4,115065412
C,5,33049376
C,10,33123410
C,8,33151575
C,5,33490530
C,4,33445215
C,5,33573350
C,2,33284833
C,3316,33278528
P,4866,116925517
C,7,33675586
C,1,33824099
C,2417,34360032
P,2105,118655878
C,4591,35256840
