role,n,time
P,8353,620760
P,6705,686953
C,4236,42044
C,5221,42718
P,9684,7605594
C,4470,7544
P,7619,7462788
C,820,427933
C,2507,276434
C,5117,462495
P,5627,8445558
C,9566,809798
P,6903,8725018
C,341,964703
P,4408,8667069
C,1511,1291715
C,5266,1365644
P,9476,9083658
C,7736,1371591
P,1604,9092374
C,7640,1634283
P,1387,9309653
C,6705,1792402
P,6514,9363805
P,2248,9423563
C,8248,2069221
P,5141,9564889
C,1726,2216714
C,9653,2311620
P,9978,9701233
P,1544,9909490
C,1851,2822732
P,3118,10416046
C,2028,3163575
C,4303,3159559
P,7715,10682347
P,6069,10652226
C,5293,3391885
P,231,10943445
C,5190,3513178
P,765,11169032
C,703,3794929
P,8861,11359255
C,4375,3993272
P,7074,11486114
C,6268,4019682
P,9631,11682006
C,9751,4073328
P,6108,11719601
P,5663,11856378
C,4049,4184077
C,1858,4273740
C,9903,4321681
P,4061,12155023
C,4715,4551962
P,2940,12296837
C,493,4727392
P,7439,12685801
C,2699,4974603
C,5914,7581936
P,9326,16027855
P,575,16060113
C,4264,8424722
P,9579,16348290
C,7722,8178345
P,9407,16434885
C,3808,8672956
C,9767,8535288
P,1,16682509
C,8626,8945116
P,307,16944900
C,1441,9017425
P,2348,16986689
P,2471,17102920
P,19,17199826
P,7708,17428762
C,7331,9660494
P,9845,17651432
C,3332,9906720
C,34,10089407
P,907,17866151
P,4454,17991340
C,2304,10220975
C,9756,10328100
P,6531,18456374
C,8817,10575755
P,8306,18547214
C,6877,10801841
P,348,18743398
P,2640,18851123
P,6947,18908604
C,8591,11312562
P,7369,19197250
C,8499,11263162
P,721,19289911
C,1128,11407715
P,8675,19622145
C,7794,11741994
P,503,19699171
P,2029,19763981
P,1683,19747631
P,2919,19762690
C,7419,11788928
C,287,11814338
C,7770,11764475
P,7637,19753422
C,8631,11863080
P,6313,21889605
P,6116,22029283
C,6040,13773385
P,9227,21799519
C,6711,13717288
C,8223,13793011
P,2787,19787604
C,6478,11764697
P,4479,19787319
P,2670,19720312
C,4470,11795844
P,6636,19761296
P,8232,22146390
P,8313,22131595
P,6126,19761102
P,4897,22166430
P,5158,22184866
C,5257,13930210
P,4126,22173040
P,3656,22139247
C,6630,15956953
C,9817,13861136
C,9323,13882246
C,3191,13260196
P,127,22138191
C,769,13300617
C,5880,13347137
C,4054,13223348
C,7057,13179105
C,503,13899487
C,9596,13884736
C,5479,13056729
P,7962,24613793
P,7014,22139272
P,2718,24691567
P,4902,22139733
C,1849,12933950
C,1451,13732111
P,2062,22113046
C,3393,12996021
C,7321,13806005
P,6217,23650781
C,9524,12908824
P,3184,22153579
C,3611,13824463
P,429,22123457
C,2853,13797691
P,8553,22173705
C,8097,12870148
C,8407,13819957
C,401,12807254
P,5856,20990785
C,2210,13862403
P,959,20170225
P,5700,19952086
P,1778,22070555
C,922,13802595
C,2721,14319417
P,4466,17636978
P,5538,17356140
P,9145,22054058
C,7038,13828913
P,7512,21934626
C,1205,13799748
P,5538,21998295
C,4094,13888960
P,435,22023948
C,146,13918996
C,5836,14136445
P,5167,22018625
P,6462,14599120
C,3507,13853092
P,1305,13897122
C,6422,13866572
C,4705,13787346
P,6084,11381024
C,3723,13808552
C,8561,14201447
P,3006,13793509
P,4660,13804958
C,6964,14102938
C,2885,11043685
P,937,13912336
P,3308,10456170
C,3933,14160146
P,1477,14392087
P,4157,6990010
P,5274,14021615
P,1373,6472693
P,7711,6376775
C,410,7122526
C,6895,6931597
C,7508,6746721
P,5798,3514536
C,1107,6359563
C,8045,14175496
P,355,14853913
P,482,14899875
C,7518,4085707
C,2506,3462256
C,9965,14114361
P,986,2069590
P,3567,1576571
P,6449,15046455
P,9252,15330146
C,9276,2694288
C,3343,2274398
P,5173,479764
P,1465,391356
C,8659,14208096
P,6871,15441047
C,6695,14160564
C,1228,1435965
P,9850,15757309
P,864,15817760
C,6312,14150316
C,1161,1330741
P,2832,16226201
P,3621,16446960
C,8784,14148577
P,392,16626215
C,4926,14055162
C,26,729560
P,3961,16606083
C,3564,14128950
P,3828,16721166
C,6872,14259880
C,3857,877038
C,1939,14319291
P,5399,16851160
C,3991,14363312
C,7760,883838
P,8332,16937782
P,2608,17249128
C,7,14321419
C,3707,819105
C,9738,14266638
C,2846,14315480
P,5424,17600319
C,2529,14356841
C,2586,1020875
P,8451,20993819
C,7931,14326946
C,579,1161394
P,3656,21184192
C,485,14326439
C,1591,948739
C,6624,12505569
P,1896,21360283
C,6269,12524932
C,3534,12542146
C,4586,1452357
P,8673,19989644
C,9403,12580888
P,5118,20375738
C,5118,12736736
C,5110,1775672
P,5910,20567265
P,3925,20815825
C,8070,12763173
C,1644,12728323
C,5030,12845222
P,3295,21206255
P,9690,21219830
C,9878,12888025
P,3543,21681061
P,5213,22014675
P,6210,22154313
C,2741,12760546
P,6027,22362667
C,9686,12816240
P,5685,22518679
C,8224,12849106
P,5543,22574992
C,5659,12846170
P,3913,22763112
P,1118,22934491
C,2188,12841982
P,7617,23072249
P,1530,23448677
C,1395,3824297
C,5657,3810162
C,5095,12986236
C,4005,12957752
P,3012,23847632
C,5062,12959124
P,5550,24206287
P,8318,14770
C,7790,4098975
P,6980,24342683
P,780,14896
C,7268,12915033
C,968,12980738
P,5548,24781151
P,8816,16634
C,7914,3548581
P,9626,24776084
P,8624,15833
C,4678,3412285
C,2068,1007852
C,7387,12980444
P,3472,24760551
C,6021,12942097
C,3276,1217132
C,3534,12950230
