role,n,time
C,4826,191
C,254,195
C,1011,172
P,7691,88089768
P,9047,105
P,354,88576395
C,7428,515
C,9985,253
P,8033,131237
C,347,262
P,815,128
P,1916,108
P,5091,121
C,2507,297
C,3156,238
C,4472,177
C,812,185
C,4041,185
P,4287,89691982
P,6818,119
P,4449,77
C,5933,321
C,799,246
C,4917,191
P,6657,90714889
P,6275,126
C,2369,207
C,8232,174
C,7144,322
P,810,91446405
P,5146,89
P,9791,88
P,1270,115
P,410,91873631
C,1365,316
C,3804,205
C,4317,198
C,7207,240
P,8990,92781358
P,3408,136
P,2846,96
P,890,93221889
C,9545,332
C,6862,185
P,1907,94049907
P,1966,94456451
P,3180,108
C,4025,578
C,1705,229
P,266,95002454
P,9089,79
C,3720,345
C,3191,232
C,4388,448
P,2936,95821833
P,5652,111
P,6038,87
C,5001,352
C,71,217
C,1497,333
P,7829,96382570
C,5167,277
C,8038,314
P,203,96990586
P,3568,115
C,915,365
C,5570,170
P,420,97482286
P,2422,105
C,827,277
P,1470,98053998
P,1024,93
P,485,90
P,9116,84
P,9,82
P,5102,111
C,5121,424
C,6704,199
C,3050,286
P,1449,98870994
C,1001,502
C,1747,358
C,204,284
C,2035,196
P,4413,99337834
P,5799,105
P,177,100
P,8552,115
C,3783,520
C,8200,324
C,4519,281
P,8832,100921158
P,1553,134
P,5334,74
C,6900,470
C,1883,511
C,6314,305
C,45,215
P,5333,102139531
P,6034,184
P,4014,109
C,3747,569
C,1543,195
C,3681,184
C,4372,204
C,3502,215
P,7035,103202822
C,7913,243
P,3969,105
P,913,142
P,1051,68
P,5450,119
P,6447,76
C,226,216
C,6717,187
C,2009,182
P,4,166
P,2177,119
P,1469,79
P,5825,74
P,43,82
C,5161,491
C,5949,244
C,2376,262
C,4545,184
P,9656,105418283
P,3007,105682967
P,5189,105907941
C,4140,359
C,8772,205
C,1231,400
C,1057,221
C,2573,239
P,3351,106622236
P,8064,125
P,6326,137
C,2182,404
C,984,476
C,6352,272
C,1472,250
C,5424,260
P,9240,107594140
P,6247,147
C,7388,355
C,6145,376
C,3343,293
P,8947,108384483
P,7078,80
P,699,108828941
C,689,315
C,1231,86
C,3003,85
C,978,65
C,7383,111
C,2217,82
C,1525,67
P,9307,109730069
C,1152,81
C,6190,60
P,5516,110056300
P,4594,101
P,3838,83
P,2039,85
C,4481,74
C,8030,68
P,3129,110795654
P,9611,154
C,5272,72
C,7934,76
C,2450,65
P,2333,111323590
C,4,75
P,7219,77
P,2229,79
C,6958,67
C,7192,89
P,2119,111805414
P,212,95
P,511,80
P,1689,70
P,5326,75
P,452,83
C,2825,81
P,3555,201472984
P,66,455
C,4188,85
C,8076,71
P,7548,323
P,6617,225
P,2839,112932723
C,4012,88
C,1374,67
C,7403,73
P,8004,202417988
P,262,202552480
C,246,93
C,8089,145
C,3768,57
P,924,202303374
P,7366,113905628
P,4494,79
C,7729,82
P,2623,203149054
P,8841,311
C,4112,76
C,1107,105
C,1134,63
C,1138,65
C,9737,113
P,9010,203807583
P,9272,202
C,9664,80
C,3327,92
C,3140,150
P,1850,115417333
P,3156,82
P,939,80
P,9202,204559540
C,6611,80
C,8280,94
C,832,84
C,1901,69
P,4312,205167339
C,1091,89
C,2487,74
P,6761,279
P,8548,205394414
P,3926,205562805
C,3726,68
C,1869,71
C,1920,54
C,2980,90
C,4508,58
C,773,54
P,4663,117439201
P,2413,88
C,894,71
C,9712,121
P,8724,148
P,8154,89
C,1852,122
C,6585,117
C,3617,70
P,369,205972046
P,9470,370
P,1322,314
C,2736,109
C,656,110
C,1073,92
C,2943,133
C,7850,110
P,4988,119076525
P,185,120
P,2045,86
P,2659,63
C,563,92
C,6920,84
C,1792,78
P,1241,208380406
P,7534,406
P,8359,251
C,2943,113
C,2484,130
C,3442,86
C,9368,105
P,2127,120465303
P,3901,209584579
P,9055,230
P,3810,238
C,2529,99
C,8176,90
C,5072,74
C,1727,63
P,7101,121513975
P,7138,134
P,254,208800890
C,5420,181
C,3527,245
C,7164,93
P,5421,211136660
P,2777,246
P,9390,530
P,1109,293
C,1427,165
C,674,69
C,2765,83
C,8998,73
C,4784,78
P,2201,217017753
P,7378,360
P,6618,205
C,9759,92
P,3167,219449284
C,5717,110
P,4091,255
P,9721,216
C,7860,104
C,3391,120
C,5933,83
P,3341,220820444
P,804,390
P,3861,252
P,1263,220
P,220,245
P,728,281
P,6100,255
C,9027,99
P,9780,221819876
C,9853,98
C,3507,70
C,511,135
P,1934,219903130
P,1496,231
P,4979,305
P,6450,133737762
C,3869,78
C,1303,86
C,2833,74
C,9752,129
P,6111,223208265
C,2000,94
C,4278,84
P,8953,223599821
P,7485,418
C,1165,76
C,9975,230
C,1249,124
C,4495,112
P,9169,224150998
P,5722,395
P,1866,230
P,1335,221831736
C,2035,84
C,4009,97
C,9643,91
C,2708,60
P,8518,136051492
P,8037,177
P,1110,225211773
C,9402,209
C,568,166
C,7860,120
P,50,223444549
P,4078,869
P,6305,353
P,349,243
P,7070,244
P,1250,220
C,4699,220
C,3421,74
C,6685,69
C,3176,59
P,5107,227877439
P,1192,393
P,4573,265
C,6501,100
C,685,85
C,916,70
C,1762,115
C,1227,82
P,5752,228684196
P,9887,557
C,5118,114
C,9165,109618
C,862,85
P,7327,229777298
C,8068,72
C,853,73
P,690,141411055
P,4018,127
P,1074,106
P,6972,86
C,9133,65
C,2091,61
P,9731,112
P,77,84
P,6755,227149119
P,1182,630
C,438,157
C,8197,90
C,66,106
C,8476,100
P,7644,142765769
P,553,204
P,5592,101
P,262,108
P,2301,231715891
C,8092,136
C,4481,77
C,3490,59
P,9922,143518816
P,3384,128
P,974,232486201
C,9803,87
P,8658,228811923
C,7630,111
C,1375,78
P,1882,232919638
P,3905,310
C,309,87
C,3245,65
C,3957,62
P,5621,424
P,384,321
C,2957,106
C,1408,116
C,6033,68
P,6925,233773274
P,8504,338
C,6994,90
P,9409,145410146
C,8707,106
C,1036,77
C,7080,80
P,9412,234481604
P,171,224
C,5118,123
P,1429,253
P,3704,212
P,4190,234825168
C,4579,73
C,6398,104
C,176,70
C,2395,88
P,8825,230965490
P,6989,235441715
C,7694,64
C,4260,78
P,8270,235972316
P,4671,353
C,2490,84
C,3094,94
C,8865,69
P,8003,236615458
P,5313,148279016
C,576,86
C,7893,91
P,6848,148669998
C,2313,75
C,1031,70
C,8220,71
P,9093,237831074
C,1209,84
C,2099,120
C,1807,120
C,2730,85
C,1996,95
C,1170,118
P,4584,238493759
P,4643,399
C,3312,131
C,3388,131
P,5827,150549497
P,23,347
P,7357,1504
C,6363,92
C,827,197
C,9923,131
P,7336,240413974
C,6569,122
P,9870,240318344
P,416,481
P,6864,222
C,6512,75
C,1429,75
C,8351,60
P,3321,240757884
P,3744,620
P,5227,291
C,2025,63
C,9070,67
P,7564,241375656
P,3306,192
P,330,228
P,298,144
P,2106,241674937
C,4525,146
C,2325,79
C,7837,68
P,4925,155276250
P,8322,177
C,7747,127
C,8257,96
P,3772,243372851
P,3656,270
P,86,212
P,7483,362
C,813,63
C,7462,87
C,5688,66
P,3882,244507665
P,6967,745
P,7201,218
C,986,100
C,8811,102
C,8887,92
P,5226,245008813
P,4271,546
P,2846,355
P,603,248
P,6200,245697147
C,1218,257
C,1346,153
C,1862,111
C,9559,84
P,3850,240904794
C,7278,65
P,5588,241309889
P,7899,328
C,4698,110
C,7154,80
P,1199,339
P,9876,256
P,4030,170
C,9167,123
C,9547,125
P,300,241965088
P,7881,176
P,4894,209
C,7774,99
C,4756,159
P,9204,324
C,4515,85
C,4279,77
C,782,53
P,7984,235
P,2297,222
P,2424,234
P,4165,187
C,624,72
C,8431,81
C,7854,61
P,6479,243131536
C,1775,140
P,7088,162587062
C,2641,114
P,616,243508100
P,6385,409
C,9837,63
C,5601,61
P,6370,244157955
C,6548,121
P,1978,244550355
P,5831,291
P,5803,260
P,1237,288
P,313,370
C,2769,79
C,782,61
C,6525,54
C,118,61
C,1810,62
C,1724,73
P,3123,245834311
P,836,537
P,4474,160
C,1557,88
C,8700,83
P,4139,166315510
P,4163,169
C,7325,71
P,8877,242526055
P,2670,242657828
C,8163,69
C,3000,61
C,753,110
P,2656,243166322
P,4438,319
P,6578,210
C,9062,120
C,1123,91
P,9824,340
C,8203,81
P,9133,244028925
C,8781,71
C,865,73
C,4167,73
P,818,244298647
P,6556,219
P,5499,251
C,5258,110
C,4029,77
P,9120,251
P,725,248
P,4433,245146707
P,545,170353426
C,6365,138
C,1201,62
C,7553,70
C,3899,75
P,2718,251794358
P,6934,415
P,6958,361
C,8448,95
C,4787,74
C,938,52
C,377,54
P,6976,252252377
P,6139,494
P,1002,220
C,275,69
C,3804,155
C,5382,74
C,2113,63
P,1959,252855605
P,2711,304
P,1120,243
P,1844,233
P,2009,253054795
P,1390,253419911
P,70,253626204
C,7811,140
C,5488,178
P,5178,254286970
P,527,339
P,6076,229
P,1088,254555740
P,2326,442
C,6316,99
C,764,63
C,899,66
C,1989,102
C,2412,58
C,3275,104
P,9612,357
C,7968,77
P,9381,236
C,6262,94
C,1265,106
C,4469,70
P,6662,255494013
P,746,475
P,6350,253
P,203,255792036
C,9400,177
C,5228,189
P,8900,256171909
C,7382,101
P,9701,256445895
P,1166,256601515
C,8056,87
C,2591,87
C,1317,388
P,5491,257211288
P,9087,324
P,2568,242
C,8993,114
C,3289,112
C,1030,62
C,4734,84
C,581,120
P,4128,184425455
P,4577,72
P,2171,118
P,7466,77
C,566,102
C,4895,84
C,8139,66
P,6394,258178773
P,6842,526
C,8878,94
C,2536,64
C,3323,68
P,3867,185471375
P,206,143
P,9836,73
C,8850,136
C,1225,60
P,5131,258892965
P,4428,325
C,3738,83
C,1687,63
C,7929,80
C,88,117
P,6262,259421536
P,6700,243
P,1748,170
C,3678,65
C,301,132
