role,n,time
P,9,146986
P,4317,8210
P,3,183801
P,7,193834
P,3,7562
P,5,8280
P,9,8553
P,9481,8198
P,4,54280
C,9,259575
C,2449,452377
P,8255,8857868
C,5,900143
P,3,8959231
C,2556,1041881
P,7,9198521
C,7,1347350
P,1,9544178
C,8,1680486
P,10,9756746
C,6,1826486
C,2400,1979466
P,4428,10054957
C,2,2140329
P,2,10298666
C,1,2316018
P,8,10363620
C,2,2457864
P,6,10678824
C,7493,2750075
P,3,10841484
C,10,2850321
P,4,11104406
C,9,3206069
P,8250,11282767
C,8,3331512
P,128,11512747
C,4307,3425239
P,10,11700762
C,1,3768022
C,9,3900690
C,8,3899644
C,2892,4096756
C,6882,4275978
P,8953,12664918
C,1,4490223
P,7,12833836
C,2208,4515217
P,3,13051050
C,6,4770384
P,5,13169162
C,2,4807920
P,8,13420521
C,10,5074295
P,2,13877419
C,9,5524666
P,8,14148201
C,9377,5737711
P,8,14284856
P,2360,14387414
P,313,17062511
P,9,17330387
P,4735,17388646
C,9798,9476663
P,9572,17589971
C,10,9634148
P,6,17756713
C,9849,9708713
P,10,17990228
P,1689,18198800
P,4,18261765
P,3,18405254
P,8,18464639
P,9,18590885
P,8603,18657090
C,9078,11059799
P,1,18783793
C,9,11201159
P,2,19010285
C,10,11445740
P,1,19251119
C,10,11584914
P,3,19399926
P,3,19442782
P,3,19496666
P,8608,19499320
C,5249,12006485
C,2,12077892
P,1,19686892
C,10,12262179
P,5,19884266
P,2,19581377
P,6,19974648
C,5,12464071
C,8,12419456
P,6,19963071
P,5,19989335
C,9,12443920
C,6,12563080
C,6,12577993
P,4,19956641
P,1,19937690
P,9,19990573
P,4639,22112630
C,5797,15144387
P,8,22156919
P,7576,22153532
C,8717,15241215
P,4228,22210638
C,9254,12615430
P,5,22230248
P,2450,19965346
P,1725,19985816
C,6339,15207920
C,8,15248835
P,6,19999519
P,8,19944407
C,7,12411895
P,564,22243290
P,4,22094231
C,7,15323631
C,8,15184256
C,3470,15196456
P,4,22317226
P,6,22307750
C,9,15165247
P,7,22361060
P,10,24017999
P,6,24046574
P,5,23975505
C,2,15181089
P,10,23975700
P,3116,22329971
C,3429,15209799
P,5,22301386
C,5,15224692
P,6761,21042732
C,4871,18620478
P,6,20348840
C,10,18667375
C,5,18663484
C,7,18589907
P,431,22314615
P,1,22300003
P,8,17721469
P,6003,22259943
P,6248,17146670
P,6,14376690
C,9,15255199
P,1,22271356
C,9,15178436
P,2,15001526
C,4,20248035
P,2,22267484
C,8932,20209287
C,5,17648945
C,6,15168189
P,10,22220309
C,1689,15165417
C,7,17111874
C,5,15211524
P,9,13321321
C,5,16973026
C,8583,16929246
C,9,15137885
P,1575,22150263
P,2045,10327610
P,8,10328092
P,4188,10037935
C,7862,15218921
C,5,16369551
C,5478,15126787
P,8826,22101817
P,7519,22159379
P,1,22042279
P,1,21970158
P,3,19919300
P,5,19930823
C,10,12603779
P,3,20012747
P,9397,7120047
C,10,14728160
C,6770,12143605
P,399,7279227
P,4,6243973
C,5,15091557
C,8,11102530
P,8454,6155510
P,3162,5771211
P,9,7311282
P,5,7383135
C,8592,15113651
C,2,9438764
C,7735,8844567
C,4,15535716
P,9,7393679
C,4,15688227
P,2403,4326192
P,9713,4296010
P,9,7535950
P,2028,7560861
C,8186,6650726
C,5,6453660
C,7,6451208
C,6,15736883
C,6,5681128
C,1366,15966533
C,2,5663548
P,8,9957214
C,7,16046109
P,9790,2011122
P,5382,9934564
C,3,1862568
C,4542,16092457
C,5,16062178
P,2,10069566
C,6,16114511
P,702,10136882
P,4,856084
P,1,862136
C,1,16070288
P,2,169297
P,8,10413919
C,6,16122015
P,9137,10420098
C,7553,16058042
C,1,16088388
C,4,16248708
C,3,16234494
C,6,16319541
C,6,16314208
C,1,16406811
C,8,16523899
C,6,16519546
C,4,16566554
P,332,10176400
C,3,16644834
C,5,16680090
C,8275,16758176
C,3,16797681
P,9190,10468305
P,8,17406
P,9,6862
P,10,14638
P,6,4382
P,4,14239
P,1,4051
P,1,3575
P,10,3841
P,4,3538
P,7141,4044
C,5,2902517
P,9,10506303
C,179,16749217
C,3,16908559
P,1,10506545
P,2259,10617914
C,1,16966176
P,4,13095631
P,9,13131985
C,10,17061475
C,8,17036721
P,8483,13390192
P,9,13425215
C,4,17001556
P,6,13599457
C,3787,17066608
P,2487,13890405
C,8010,17076530
P,9,13867494
C,10,17221993
P,8,13936131
C,2,17205844
P,4,13986507
C,1405,17289417
C,6,17610779
P,3520,14125804
P,1,14404608
P,3,14768582
P,4,14610267
C,10,17592066
P,933,14986272
C,5,20216304
P,5,14976883
C,4,20319887
C,4,20249752
P,2098,15062878
C,3285,20228598
C,3,20094650
P,8470,15025976
P,5,13423477
P,4834,13659274
C,9,18490344
P,1,13878977
C,7,18578565
P,9,14053224
C,9892,18635905
P,9,14221545
C,3,18688475
C,1,18675771
C,2,18608000
P,5,17255950
C,3,18663823
P,1,17433445
C,4,18713679
C,1,18634363
P,7,18069584
C,3,18653503
P,4120,18398808
P,9,18578373
C,331,18622270
P,6,18723179
P,9,18916137
C,9,18673863
P,8,19931085
P,2,20127548
C,2,18716168
P,9,37519
C,9,18699865
P,264,20598932
P,165,20770169
C,6,18700363
P,5,21328573
C,2,18774975
P,3865,21459762
C,7452,18695252
P,5168,21567502
P,7,21913521
P,6,22186188
P,8,22496222
P,1,22678423
P,10,22848922
P,2654,23986005
P,4,23991840
P,6,24008397
P,5,24039401
P,8,23967585
P,2,24007692
P,10,23965345
P,3,24095810
P,1,24059954
P,3,21965637
P,8,21975606
P,6,22020374
C,5,15191960
P,10,22003183
C,10,15227149
P,1,22098065
C,4995,15207462
P,4131,22244488
P,5812,4183
C,5914,8821518
P,5062,4163
P,10,8971
P,1,6570
P,6,31545
P,8,6776
C,9375,8623459
P,3030,4995
P,8,11468
P,5,5401
P,9,5169
P,8,5247
P,5,5151
P,6,5183
P,5,5399
P,5,5321
P,1,5301
P,3,5414
P,8,5636
P,9,5399
P,584,4993
P,3,5318
P,3794,5794
P,4,6074
P,9,7014
P,10,7485
P,9,4167
C,7,5811024
C,9,5503328
C,2,5967749
P,2620,4380
C,4045,6639527
P,789,40322
P,4,5553
P,5,5074
P,6073,11042
C,3,9772099
C,7,9484822
C,8404,6234933
C,5798,9109602
C,6,6161076
C,9,8251608
C,270,6232388
P,5668,5427
C,9811,6379687
P,7117,6439
P,6,3263
C,5,5884220
C,1,5917930
C,564,5957171
C,2,5927712
C,7851,5966790
C,3,5936211
P,4492,5817
P,3451,5393
