role,n,time
P,2348,5276
P,10,692
P,8,436
P,1,475
P,2,611
P,695,528
P,3,486
P,2,433
P,1,53480
P,9,503
P,317,556
P,8120,504
P,10,605
P,10,700
P,9,3114
P,1,489
P,5,714
P,8,475
P,3,448
P,6,414
P,9,544
P,2394,518
P,7,58405
P,4,828
P,5751,593
P,1,449
P,3,712
P,4,434
P,6,538
P,9,554
P,4,478
P,10,501
P,5,513
P,1,476
P,8,410
P,7,470
P,8,796
P,2,451
P,9,479
P,7,559
P,8,631
P,3,571
P,7,449
P,2,605
P,7,493
P,10,449
P,3,506
P,1,438
P,4,449
P,2,683
P,6,528
P,2,705
P,8,485
P,1,479
P,5,794
P,4,654
P,6,549
P,9,491
P,9,545
P,2,489
P,1,525
P,2,2520
P,10,530
P,4,1015
P,10,730
P,6,551
P,1,543
P,10,583
P,8,492
P,9,528
P,10,527
P,9,466
P,1,574
P,1,553
P,2,918
C,7,5530
C,1584,528
C,2,426
C,3,324
C,9606,361
P,3180,359
C,4069,11068
C,10,480
C,4026,465
C,476,349
P,5,371
P,8,295
P,6,312
P,2700,239
P,6,313
P,8902,273
P,7,288
P,5,273
P,2,235
P,2,388
C,9,475
C,5,458
C,7,410
C,4,437
C,1,447
C,285,502
C,6,526
C,6,372
C,2179,342
C,232,382
C,2798,372
C,9,300
C,6987,457
C,5,420
C,5,398
C,6,353
C,9,410
C,9,400
C,5,555
C,211,517
C,1,515
C,10,562
C,5,10771
C,2,476
C,10,460
C,1117,608
C,3,475
C,894,497
C,6,397
C,9,402
C,7,515
C,8,507
C,3,439
C,7,484
C,3,473
C,5,538
C,2,410
C,1,449
C,9,482
C,7,418
C,4,503
C,1,432
P,4,688
C,10,562
C,7,290
C,3,429
C,4,414
C,2,489
C,1,391
C,9,340
C,5,440
C,9,499
C,2,397
C,10,566
C,2,398
C,5,334
C,5,315
C,10,276
C,2,265
C,10,995
P,6,6999796
P,4,254
P,4,259
P,3,236
P,9,259
P,5083,229
P,1,205
P,2,224
P,743,222
P,3,238
P,1730,194
P,4,203
P,6,226
P,3,215
P,5,174
P,4,168
P,7,177
P,4,173
P,2441,153
P,8563,235
P,10,150
P,6,150
P,6,184
P,9,316
P,10,8166674
P,1,330
P,2,8385658
P,10,12703254
P,5,259
P,6,12845404
P,2,12940824
P,929,266
P,6,13227635
P,9,205
P,10,256
P,1,203
P,10,200
P,8,246
P,9,331
P,2,345
P,8,313
P,7,13796809
P,6,250
P,1,14063653
P,9,245
P,6,227
P,2,240
P,8,255
P,10,14310510
P,5,14585819
P,9,316
P,10,260
P,7,14853844
P,2,363
P,2,17072570
P,4,286
P,9,17258373
P,8,218
P,8,209
P,10,212
P,10,240
P,3,223
P,9,205
P,5,265
P,3,240
P,5,17775490
P,6,230
P,10,198
P,2,216
P,3,297
P,3,278
P,5,190
P,10,205
P,4,207
P,6,156
P,6,151
P,9,180
P,3,167
P,6,165
P,10,177
P,9,18438239
P,5,268
P,2,18628247
P,1,18723752
P,1,19130298
P,1,20311144
C,7,636
C,4,341
C,2718,318
C,10,301
C,8,291
C,2,345
C,9,343
C,112,300
C,4,250
C,1,282
C,9,340
C,1739,361
