role,n,time
P,69720,659578
P,5773,684222
P,59102,760929
P,6134,806351
P,33187,738700
P,20788,750839
C,3457,62640
C,21386,245294
C,57487,294082
P,77502,81629368
C,42021,425517
P,5974,81774010
C,26995,559060
C,10946,628080
C,3075,674071
P,96696,82172680
C,10011,631886
C,63265,819860
C,25099,771970
P,65269,82485415
C,84813,870107
P,75291,82392605
P,41936,82495669
C,86723,968032
C,76882,693343
C,92735,645106
C,3541,431552
P,90505,82687653
P,58865,82461368
P,91564,82874961
C,62827,426193
C,35802,1012400
P,19041,82467402
P,80731,82936263
C,19804,1088648
C,16696,414660
P,69308,82978494
P,94831,83199665
P,57215,83179189
C,93788,574568
C,1595,472444
P,307,83063757
C,54428,393384
C,50001,585386
P,52206,83047961
P,61901,83355364
C,99854,353233
C,31802,6075135
P,5724,82674649
C,44831,190732
P,23826,82665031
P,60361,89119508
C,22175,474238
P,85020,82586367
C,25411,829490
P,72304,82538964
C,65662,967105
C,72455,337882
P,33751,82447538
C,8865,452864
C,54656,316519
P,65572,89637483
P,98405,89486582
C,83893,463805
C,88881,483023
P,42014,89275395
C,584,511856
C,28011,522020
P,75522,89872772
P,59544,89278948
P,86140,89251465
C,65696,593865
C,27366,922345
C,97680,6196047
P,60835,89077507
C,23127,6077167
P,28389,88972480
P,51522,88950946
P,69600,88809930
C,78565,408513
C,89192,13068
P,86548,90301580
C,93973,399481
P,44990,90376982
P,72219,83353975
P,12708,83370882
P,28151,83289263
P,56038,90445485
C,93462,150718
C,76558,487131
C,1551,98165
C,47936,80238
P,55280,83301203
C,60309,177926
P,76983,90785339
C,41792,268401
P,39784,90802090
P,89404,83286792
C,95956,498997
C,91225,453883
C,66847,420356
P,85289,96083237
P,64290,96089920
C,58163,188841
C,72677,5373646
P,31064,96085391
P,20703,96392214
C,95340,5240775
P,62673,90946204
P,99452,96568328
C,38627,201105
P,42011,90893229
C,5469,187302
C,45006,117915
P,66992,90788200
C,70808,302364
P,86960,90642699
P,8648,90619877
C,2020,392912
P,62798,90589948
P,16101,90512404
C,8383,434513
C,76233,266692
C,72282,388405
P,16051,97512158
P,43745,90446658
C,30558,316302
P,37116,90404132
C,8635,10310
P,45324,90335594
C,97334,138512
P,22030,90368230
C,80648,67834
P,73291,90242215
C,74257,69592
P,97585,90121488
P,39257,90158567
C,92838,5428
P,50152,98382010
P,53899,90185656
C,41358,120908
P,98158,90224742
C,74381,63912
P,14051,90084098
C,63552,10550
C,75500,60061
P,58918,98931811
C,46669,97308
P,90739,90019724
C,63944,74044
C,17998,11625
P,4828,99029350
C,7020,12854
C,7650,107860
P,59105,99025877
P,17558,89746446
C,64550,159675
C,41389,13105
C,2739,12612
C,14980,12626
C,4456,178791
C,18467,255282
P,21369,89512236
P,31501,99330365
P,38446,104159646
P,7219,89530129
C,23554,225523
P,98524,89546166
C,81721,205035
P,4460,104682728
P,85858,89522952
P,48720,89526690
P,51705,104737255
C,78989,298238
P,17151,89522241
P,5433,89498300
C,39142,254337
P,57218,89514973
C,37811,65240
C,13107,10654
P,95065,104858644
C,58301,8880
P,87420,104782590
P,5677,105372527
C,50403,264045
C,86291,539305
P,84892,104787518
C,31913,650352
C,59973,653004
C,75741,125810
C,24741,898623
P,59114,104752845
C,97708,275097
C,71783,5963033
P,40575,104702460
P,73325,104730020
P,54361,105715436
P,48393,105302806
C,71234,5843393
C,60569,5755978
P,84819,104510335
C,65028,5398530
C,83588,372671
C,94672,117033
C,23062,278744
C,42862,162318
P,50268,99145385
C,27715,187608
P,86517,99031938
P,62209,99097015
C,34916,374834
P,8780,99109344
C,91140,329096
P,69642,99137544
P,1140,99125602
C,99111,72128
C,18701,32998
P,44925,99015602
P,12774,99023647
P,45671,99102248
C,86474,275523
P,82745,111004058
P,20265,110988814
P,17647,110860235
C,82962,3285
C,54495,43593
P,19337,99087075
C,35520,40506
P,32438,111024164
P,97851,99134518
P,99924,99162212
P,78460,110961393
C,93638,81193
C,51040,88482
C,84161,12622
P,5213,111019980
C,37237,13116
P,53354,98860946
C,10674,9952
C,25935,10560
C,7138,10703
P,99141,98607529
C,5811,52994
C,47197,140397
C,58659,127436
P,76679,98462524
C,21173,143003
P,30514,111688700
C,38961,285029
C,96521,358146
C,45519,256410
C,27751,268202
P,71157,98284232
C,23648,10265
C,35889,138217
C,26439,387919
P,66571,97966483
C,86907,38964
P,44153,97869928
C,16324,83394
P,70874,97886401
C,63336,8601
C,16915,307524
C,24175,9840
P,56991,97607471
P,66960,97652026
C,69490,139413
C,33343,5473390
C,782,202482
C,34121,147845
P,14750,117894286
P,52797,97558940
C,83200,177892
P,66594,97588252
C,27076,167119
C,9961,618516
P,95489,97538097
C,46531,570005
C,9746,302770
P,69853,97001310
C,84069,214616
C,1753,648540
C,23942,218200
P,81782,96992215
P,68264,118431203
C,53907,621257
C,90542,586668
C,35463,378661
C,23913,302989
C,4782,444016
P,76964,96786993
P,62713,118520880
C,15208,330449
C,72460,907837
P,11282,96585262
P,69725,118622019
C,93210,405092
C,58252,879987
C,86192,322295
P,62847,118719814
C,10205,389683
P,67400,96358385
C,35414,279036
C,72642,871260
P,77617,118605663
P,51118,118557603
P,84711,118527213
P,43582,118669954
P,21194,118692588
C,40382,985035
C,15754,987579
C,87503,997456
P,91696,118659150
P,47557,118755101
C,14848,994133
P,32532,118623435
C,88801,1091500
P,65065,118655566
C,85296,1078258
P,8563,118652466
P,22604,118626837
P,71616,118864512
P,59819,118826583
P,5890,118688734
P,35160,118498239
C,78391,510175
C,45512,338478
C,55636,684839
P,47655,118524102
C,36425,599362
P,22907,118399469
P,18415,118413864
P,49249,118404767
C,63723,675880
C,37971,681758
C,37236,744720
P,32025,118324424
P,77096,118095055
P,63641,124660238
C,4287,597899
P,69977,124723957
P,84103,117947097
C,46427,375234
C,43559,306564
P,64893,124827140
P,98227,117967000
P,69381,124795537
C,51854,651576
P,69168,124901534
P,71204,124894973
C,70418,101825
C,76196,680215
P,11314,118017292
C,35103,808166
P,67303,118019028
P,4440,125003345
P,59410,125018032
C,81058,830610
C,36699,817622
P,13997,117939063
C,6661,5620053
P,93317,117837965
C,70771,5448710
P,93475,125172287
P,47200,117669795
C,8125,333420
P,51095,112454267
P,71979,125261795
C,86913,227182
P,71467,112301478
C,46454,9212
P,4492,112043074
C,13387,266731
P,60469,112110881
C,29125,246357
C,99653,306721
P,31898,125360404
P,48979,112065965
C,26176,307599
P,39597,111888702
P,23350,125148798
P,87311,125042370
P,7403,125014271
P,92865,111880990
P,50022,111896980
C,98628,478131
C,15605,553502
P,73835,111774653
C,83554,548648
P,76406,111805018
P,70304,111824508
C,46042,517371
P,33128,129376923
C,24111,512091
P,76071,111564297
C,68721,358474
P,82604,129463065
C,98618,589552
C,81990,444255
P,44529,111715287
C,2337,595477
P,10608,111742483
P,23623,111754264
P,33726,111766548
C,74764,439497
P,73803,111671437
C,22547,376579
C,34564,372691
C,46549,378072
C,4310,345457
C,15206,275520
P,99613,111350184
C,38890,9061
C,25942,314062
P,96777,110942453
C,13940,389843
P,12730,110972907
C,58267,3276
C,18280,51902
P,72712,111053907
P,13557,111042282
C,48137,556117
C,73512,13393
P,71610,111027201
C,96814,90759
C,79962,622415
P,28372,110957452
C,55674,113871
P,42901,110953191
C,14405,517794
C,73029,487174
P,84384,111026753
C,61746,219654
C,93102,185481
P,58468,111019778
P,44143,130421313
P,43828,130412530
C,49411,9177
C,90084,461691
P,31669,110751432
P,32607,110822039
P,6543,110944914
C,64429,2651
P,63649,111010046
C,86613,240690
P,89145,111006395
P,7955,130721675
C,83827,39841
C,25574,14873
P,17850,110475079
P,36482,134640690
P,29779,110507523
P,13751,134668459
P,10007,105030631
C,69972,5620016
P,11120,134649310
P,50760,105081362
P,94734,105123003
C,84363,60204
C,13834,204513
P,73109,105145625
P,26670,105170232
C,73901,167827
P,46710,134898851
P,10518,105171955
C,96678,291191
P,96310,104999847
C,8018,202887
C,62834,333214
P,6554,135132867
C,49286,204297
C,45597,146910
C,16385,222578
C,72723,141332
C,41654,156947
C,81864,162422
P,24638,135037859
C,69846,188748
P,98508,104699450
P,92138,135140754
P,95021,104748663
C,37716,212020
P,97667,104625873
P,55840,104652729
P,24871,104673605
P,43084,135114103
P,13519,104721634
C,36370,164321
P,31705,104831636
C,84840,162575
P,70222,135368616
P,81783,135300742
P,65082,104986801
C,98067,8252
C,50509,13597
P,56412,104980775
C,2016,86775
P,57331,105060152
P,49648,104868651
P,67413,105187610
C,82191,269961
C,77041,379364
P,9136,139230360
P,39446,139277342
P,18909,105460250
C,37181,362390
C,87103,480290
C,5496,11675
P,11830,105759930
P,87673,139748552
C,78481,346335
P,93972,105672358
P,50614,105708180
P,61515,105591645
C,14614,288895
P,7970,105638880
C,82427,278740
P,94763,105532508
C,33498,826458
P,19441,140326282
P,58982,105476844
P,47391,105586584
C,88846,177838
C,62446,89912
P,20540,140645688
P,81722,140629094
P,65875,105540243
P,34839,140611868
C,38487,8825
P,89206,140471694
C,61001,771380
P,63777,105386647
C,82984,603959
