role,n,time
P,6012,5526
P,2260,2099
P,2337,520
P,804,482
P,2481,513
P,343,671
P,371,469
P,235,473
P,1908,497
P,2793,614
P,70,358
P,103,482
P,28,677
P,212,478
C,5963,4559
C,8638,649
C,3740,423
P,7243,4645956
P,551,564
P,647,293
P,5230,378
P,4636,5007991
C,964,470
C,5007,397
C,687,462
C,2199,395
C,6250,393
P,9328,5125919
P,5778,5086868
C,8023,488
C,4354,1205
C,4096,555
C,456,476
C,1157,498
P,4179,5502500
P,988,377
P,6570,284
P,742,371
C,4186,493
C,7207,422
P,4782,420
P,196,295
P,674,391
P,8030,412
P,845,263
C,5777,505
C,8607,350
P,9472,365
P,5439,280
P,823,248
C,5487,308646
C,4922,477
C,3053,426
C,3105,461
P,8635,1007123
P,4305,312
C,1087,588
C,2503,431
C,2963,487
C,3580,358
C,3671,383
C,379,309
P,9349,2747087
P,6157,327
C,6234,449
C,4794,590
C,174,393
C,1645,389
C,2875,223
P,3272,495
P,9937,272
C,1451,750
C,7079,382
P,4877,339
P,359,275
P,6782,276
C,4221,596
C,8558,418
C,3818,394
P,1560,10287018
P,1654,367
P,3244,249
P,1032,280
P,9193,229
C,1771,440
C,5901,613
C,6641,368
P,7956,322
P,3818,314
C,7830,675
C,5000,540
C,212,398
P,6580,13060501
C,7095,555
C,833,469
C,401,453
P,5564,12110772
P,982,315
P,2365,14134665
P,2588,283
P,4753,14455618
P,2406,10339859
C,9724,500
C,7559,418
C,1276,496
P,2515,15216466
P,1479,12910741
C,3408,401
P,594,11079095
P,9913,361
P,2128,314
P,2684,266
C,2877,319
C,2116,439
C,4960,366
P,9782,16185584
P,1671,14383223
C,5725,639
C,437,399
C,2548,402
C,912,318
C,6125,290
P,3047,20953739
P,8047,364
P,6342,21332634
P,368,316
C,9069,599
C,3433,403
C,3004,285
P,2859,19142259
P,9462,193
P,1411,24229350
P,1421,24512395
P,504,26350523
C,3347,3437798
C,1367,275
C,7867,320
C,1501,282
C,1205,277
C,2521,275
P,6332,24775955
P,7323,204
P,3685,203
C,8782,355
C,1508,313
C,6078,239
C,1607,283
C,736,377
C,520,24353
P,5511,260
P,3238,467
P,2344,281
C,8804,371
P,5463,519
P,8862,193
C,3527,9854895
C,8347,211
C,3095,215
P,2153,236
P,479,164
P,4775,178
P,8569,139
C,7912,10425012
C,2058,318
C,978,244
C,3792,240
C,554,215
C,1225,198
P,1581,326
P,6961,227
P,9842,207
C,6728,227
C,2755,210
C,9681,212
P,1024,529
P,4632,237
P,5548,263
P,7719,241
C,9927,12159369
C,1743,278
C,3373,281
C,645,255
C,1804,241
P,5100,244
P,6954,230
P,2641,200
P,3154,210
C,2756,13331660
C,544,294
C,1004,278
C,3533,261
C,6850,283
P,8721,14074356
P,774,311
C,5282,276
C,7508,250
C,1462,240
P,7210,21688489
P,662,236
P,8149,224
P,2319,208
C,5872,275
C,1411,349
C,1451,243
C,133,350
C,470,238
C,893,323
C,5763,312
C,2367,165
P,9384,21880559
P,7639,255
C,6926,249
C,6848,300
P,7725,17275680
P,7636,262
C,6193,303
C,1425,286
C,7270,243
C,2043,17853796
C,1551,273
P,6420,18693257
P,9416,315
C,9377,19011034
C,6428,256
P,6433,20095298
P,4347,258
P,3134,281
C,1817,283
C,5887,292
C,414,254
C,1819,255
C,830,247
P,5122,21451359
P,7841,125
C,5582,303
C,59,170
C,2032,225
C,1936,162
C,4298,161
P,9834,388195
P,3770,172
P,2855,211
C,3717,738654
C,8618,276
C,6592,937684
P,8927,1500170
P,1957,257
P,4727,194
P,3596,180
P,431,152
C,5686,1978589
C,949,253
C,407,186
C,2674,179
C,5701,210
C,2207,2473789
C,823,2915332
P,5327,3102621
P,9662,200
P,3003,193
C,1428,3352284
C,1658,230
C,256,200
C,2450,204
C,2510,213
C,2168,203
C,2380,210
C,4910,3652862
P,1446,4369990
P,469,403
P,7172,280
P,6500,280
C,4395,4927453
C,5069,516
C,3065,380
C,10,437
P,7705,22126878
P,1471,245
P,5670,237
P,300,235
C,8514,5812811
C,58,595
C,5955,326
C,2952,481
P,9363,22341900
P,4917,33951298
C,6564,7569736
C,8880,272
C,1166,7793030
P,8429,8052432
P,5372,180
C,9911,22216770
C,1708,227
C,1953,197
P,7516,8898920
P,6713,224
C,5156,9241047
C,415,201
C,1668,195
C,4694,169
C,1923,181
P,975,9886157
P,7682,161
P,9748,178
C,8752,21974011
C,5800,198
C,362,185
C,3031,166
P,8658,22048631
P,2159,180
P,2275,198
P,3792,166
C,4863,11164315
C,3407,296
C,8318,177
C,331,186
P,9477,11695729
P,5891,226
C,8520,12061093
C,675,283
C,2600,12197204
P,3782,12458200
P,7183,195
C,9837,12666716
C,4732,14310638
P,9925,14480164
P,5813,240
C,8996,14875263
C,2322,272
C,1612,207
C,925,15284448
P,8852,23701921
P,2855,192
P,4687,204
C,6992,16236103
C,4553,274
C,7319,16357944
P,7018,20130150
P,6887,209
P,134,171
P,921,36440947
P,3127,163
P,572,38168461
P,737,41911244
C,9041,20431399
C,6295,224
P,6259,20367185
P,6513,238
P,2365,20348148
C,4690,19804788
C,6923,332
C,6664,188
P,3254,19827512
P,8428,227
P,4841,39807134
C,8129,19753738
C,9439,207
P,4193,4813828
P,1120,287
P,4462,242
P,5132,241
P,2331,159
P,1909,170
C,9642,19551404
C,8465,177
P,8218,6999099
P,4522,191
P,3726,191
C,6506,7216393
C,1827,186
C,5343,142
P,5472,7492769
P,3812,252
P,828,163
C,2511,19175467
C,3364,337
C,318,206
C,2756,155
C,2710,150
P,8974,19165088
P,7651,45145499
C,7136,19102798
C,8562,230
C,3109,184
P,5093,9047169
P,1464,195
P,2203,180
P,1487,135
P,6170,136
P,1312,173
C,6721,19030900
C,7610,161
C,2679,31547188
P,7889,9909964
P,5343,193
C,5492,18636070
C,3820,200
P,9101,10497710
P,3402,224
C,6578,18591679
C,4482,231
C,1008,10763821
C,4306,163
P,9361,18490639
P,3781,181
P,512,156
C,7860,18240884
C,6816,202
P,3183,18256756
P,4598,254
P,5266,212
P,2243,12729824
P,389,141
P,2897,123
C,5184,18378521
C,3452,244
C,3331,198
C,3670,163
P,8261,13769561
P,7200,230
C,8195,18412038
C,2674,306
C,3669,225
C,2071,154
P,2974,15254442
P,3534,253
P,6839,205
P,3778,158
P,225,147
C,6271,15554566
C,1086,317
C,2321,213
C,9522,143
P,391,16780323
P,1572,157
P,8629,141
P,6790,141
P,2181,155
C,7005,18427360
C,7496,349
C,3787,18522158
P,6825,17766222
P,9724,148
C,8595,18103950
C,5893,183
C,3249,18219832
P,4425,340558
P,3564,380
P,2486,356
P,6217,200
P,2677,224
C,8368,18255416
C,7089,437
C,1506,18276157
P,2889,1313446
P,5641,350
C,7756,17834397
C,2760,39762412
C,622,246
P,4372,2235382
P,4732,325
P,2584,181
C,7150,17521551
C,3136,21421798
P,3088,3249098
P,5145,284
P,4455,216
C,5097,16921528
C,5160,22225070
P,6820,4066724
P,3896,388
C,6463,16567800
C,1431,317
C,4781,275
C,320,4979090
P,9282,16496962
P,7375,16461249
C,1695,16370928
C,5513,237
C,200,254
C,1414,240
C,2397,246
C,6681,229
P,5092,5790643
P,8727,245
C,7794,16282955
C,3365,274
P,6526,6251816
P,3365,247
P,4180,215
P,2168,191
P,304,197
C,8485,16193086
C,409,194
C,8610,256
P,2437,6966351
P,2667,205
P,2306,177
P,8690,189
C,7676,16069335
C,3877,179
C,3246,26547807
C,2606,217
P,8105,15984089
P,7414,195
P,1923,209
C,8392,15876760
C,1081,183
C,7026,170
P,8761,8187836
C,8847,15758243
P,3980,8566228
P,4118,195
P,9130,128
C,6504,14146145
C,1703,286
C,6166,38031099
C,1791,295
P,2080,9098955
P,4400,206
P,1648,125
P,5461,140
P,1992,138
C,6174,14073275
C,873,317
C,5822,29209309
C,3183,271
P,4883,13999116
P,7988,203
P,4853,10008387
C,7832,13985427
C,9521,173
C,883,184
P,6973,13907564
P,9931,197
P,1285,55979535
C,8167,33727899
C,5210,193
C,2545,146
P,4409,13308312
P,9230,173
P,2325,33369356
C,4608,12912700
C,2158,340
C,3367,150
C,5578,190
C,1719,220
C,2459,201
P,7326,12837527
P,562,181
P,8959,195
P,1390,205
P,598,2831417
P,128,157
C,3851,3117595
C,6454,215
C,3168,173
C,1071,239
C,4397,32732647
P,3540,3568043
P,2388,221
P,4690,212
P,4203,154
P,3765,195
C,9449,12806659
C,2905,341
C,2088,253
C,1452,272
P,5656,4175542
P,654,268
P,8086,160
C,5721,12782089
C,4596,367
C,3707,187
C,1627,4441963
P,9995,4547162
P,155,141
P,3788,185
P,4172,152
P,16,278
C,8590,12725021
C,6888,276
P,8541,12706687
P,1641,227
P,5666,12715298
C,9683,12611474
C,3099,203
C,4098,172
P,4775,5464499
P,2368,151
P,427,147
P,3091,158
C,5455,12581158
C,3065,339
C,2648,187
P,2755,6078712
P,4483,223
P,7001,150
P,728,161
C,7699,12543309
C,6722,140
C,3012,208
P,7532,6667052
P,4251,244
P,2236,193
P,3904,160
C,7901,12572724
C,5124,152
C,1570,143
C,1223,7055456
P,8667,12521228
P,6495,271
C,5938,7482401
C,8137,208
C,2862,30821371
C,146,165
P,9189,12294243
P,5562,193
P,4188,187
C,6155,12095807
C,7866,154
C,490,193
P,7732,8580579
P,5252,208
C,5848,11830238
C,3335,147
C,257,174
C,3860,133
C,562,154
P,8783,9232051
C,8930,11501289
C,2109,143
P,546,218
P,4341,175
P,2120,189
P,5260,148
C,7133,11292116
C,5556,149
P,9996,10664925
P,6088,175
P,348,187
C,7414,11143638
C,4562,151
C,2292,159
C,1100,11169040
P,6712,137258
P,5342,168
P,2118,158
C,8832,10809173
C,3639,10699634
C,3700,11684430
P,7416,487431
P,5812,215
P,584,192
C,6603,10409059
C,6831,28277556
P,8044,905968
P,5775,160
P,331,154
C,8253,10146040
C,4577,31434962
P,3853,1331190
P,4377,153
P,2114,194
C,9880,9937194
P,7537,9695715
P,9690,171
C,9230,9604919
C,1314,182
C,5561,181
C,1632,196
P,9173,9551812
P,3276,9540960
P,4224,185
C,9960,2354231
C,4273,33665765
C,1467,178
C,2256,215
P,7097,2661974
P,836,224
P,3709,207
C,7413,9449995
C,2011,155
P,5165,176
P,4815,186
P,996,183
P,1621,217
C,5413,9269135
C,1396,155
C,3818,140
C,2620,135
C,633,142
P,9188,3656189
P,7420,173
C,7438,9209985
C,6600,168
P,9032,9082330
P,2654,181
P,4053,152
C,7356,9020881
C,9110,162
P,5858,4391393
P,3680,153
C,8137,4558612
C,1344,166
P,6738,4739540
P,8384,237
C,2959,4877544
C,267,163
C,5944,165
C,943,163
C,543,131
C,6044,134
P,4041,5157834
P,1077,180
P,7223,182
P,5776,178
C,7075,5342241
C,5854,167
C,627,218
C,1574,135
C,4391,8804242
P,7099,8722369
P,6770,240
P,5490,63191257
C,3434,8638364
