role,n,time
P,25,773110
P,36,950583
P,93,768502
P,93,706030
P,39,768155
P,30,846493
P,45532,1034519
P,299,711876
P,5,768505
P,37,691585
P,41,764910
P,94,754180
P,91473,706785
P,9,706787
P,61,584390
P,40408,660816
P,21,835541
C,34,37551
C,77,144210
C,82,281985
C,24,324771
C,97,509793
C,10010,608794
C,83,740289
C,27,783677
C,93,891799
C,95,1070598
C,2045,1023166
C,81,984403
C,66,1092828
C,98,1092046
C,61,1149848
C,58,1202842
C,69,1144908
C,29,1232220
C,45985,1321155
C,66,1359344
C,23377,1451720
P,93330,10493969
C,78834,1715761
P,76428,10697550
C,85,1771481
P,56,10817223
C,3,1904627
P,2545,10995168
C,30782,2010921
C,70221,2102865
P,69584,11355615
C,12970,2274672
P,1,11420220
C,13858,2428108
P,93,11755524
C,70565,2712287
P,100,11859807
P,38214,11975650
P,99,11998843
C,21,2775595
P,93,12126130
C,91370,3111494
P,39158,11991045
P,8,12445800
C,10796,2893831
C,83,2836346
P,84,12844266
P,54,12545680
C,86,3367346
P,55,13158052
C,37953,3942443
C,24,4368766
C,33,4445302
P,2251,12992323
C,17,4576737
P,2,13548254
P,54368,13442439
P,86723,13352808
C,78,4275060
P,8,14002260
C,59,4810298
P,79,13737097
C,9756,8385972
P,36,17573464
C,72,8587434
P,29,17765635
C,75,8770281
P,88,18042437
C,71,8918301
P,55333,18130022
C,29,9062630
P,7239,18382089
C,71,9284230
C,53554,9347356
P,57520,18664269
C,27,9671134
P,47,19051733
C,83528,9848958
P,55,19125174
C,29,9940188
P,69440,19465542
C,80,10141121
P,54,19709769
C,47,10343673
P,29,19859219
C,89,10750194
P,12,20269431
C,16396,10955501
C,62297,11058508
P,88476,20679232
C,16,11290765
C,47,11300394
C,83516,11309231
P,74924,21005232
C,42,11485842
C,82,11591813
C,85,11725334
C,72054,11816889
P,95121,21758344
P,47,21787747
C,74905,11719969
C,76,11699020
C,97,11684706
C,19603,11739564
C,53,11741774
C,57,11776094
P,94806,21737584
P,97015,22311817
P,94,21762425
C,15979,11449044
C,58093,13461054
C,65861,11677119
C,97,11745281
P,43548,24729585
C,25,13611382
P,48,24739490
P,72892,24727947
P,73,24645480
C,19883,13624890
P,43,24565900
P,55,22377753
C,27518,11431484
P,95,24758238
C,37,13816445
P,53394,22455370
P,40,24911380
C,4,11436667
P,41866,24928336
P,28405,24883620
C,53,11494888
C,72,11607957
C,91656,11736012
C,71,11681515
C,3,11685444
C,18,10440988
C,36,10413837
C,52,10366724
C,14,11780225
C,43,12261633
