role,n,time
P,85210,613491
P,61304,752135
P,49591,717154
C,79013,39379
C,3091,135746
P,52369,8353167
C,71297,127526
C,42099,292112
P,65694,8569385
C,96429,294675
C,60132,137479
C,40424,283940
P,89467,8435160
C,620,458821
C,6602,357007
P,16469,8500212
C,26649,275562
P,59379,8553547
P,41405,8832239
P,20123,8878296
P,99915,8786713
C,78027,184595
P,70585,8823302
C,87017,218481
C,6829,309941
P,81566,8712808
C,82180,256566
C,21322,312903
P,96360,8452810
P,18837,8552380
P,70144,9090295
P,50467,8986642
C,87459,128991
P,86856,9117440
C,94233,13407
C,13680,55187
P,94108,8875472
P,95266,9082667
P,16957,9072708
C,51568,173644
P,36386,9015648
C,99717,70699
P,85592,8942657
P,53540,9032027
C,84828,49993
C,27521,17160
C,89431,54334
C,2232,182132
C,70807,180088
P,9400,11877285
P,58768,11844376
P,68825,9027536
C,9848,63605
P,78019,9006183
C,91097,14325
P,76245,12045470
P,1050,8819571
P,82881,12153549
C,36714,176016
P,229,12225362
P,40867,8856215
C,58701,175858
C,33141,70484
P,87180,12456650
P,77408,12457635
P,69752,12419674
P,801,12275553
C,37749,127215
C,3999,16585
P,69385,12270347
C,14876,86172
C,75469,140795
P,20851,12657393
P,21609,12109980
C,60849,182862
P,11276,12070510
C,91267,93692
C,83222,72234
C,81701,14842
C,28122,12878
C,14270,251585
C,80195,410715
C,10957,405760
P,96489,11805550
C,28663,204289
C,24772,468967
C,4741,401653
C,56690,403931
C,40906,230429
C,7871,228362
C,54963,278780
P,19481,11861972
P,76182,11688359
C,98082,2589296
C,51428,14188
P,82349,11319623
C,38195,208154
P,28640,15100970
P,26977,11329834
C,69341,162520
C,79322,1154581
P,21766,11200635
P,97654,15303145
P,47885,8988002
C,64438,944357
P,36512,9018767
C,57590,606426
P,21905,8959753
C,68066,668565
C,87907,333572
C,88057,9132
C,26879,120898
P,55428,15566677
C,90470,138537
P,13968,15557814
P,63383,14849008
C,36479,12302
P,44267,8890325
P,9403,14480864
P,56139,14267430
P,18376,8954706
P,42839,8996150
C,62707,25074
P,33084,8994608
C,58202,47608
P,24564,8834167
C,20273,10392
P,34566,13711883
P,45439,13759487
C,62144,15479
P,94727,14030700
C,61195,23919
C,90353,10203
C,22837,324765
P,50614,10477833
P,39952,14095777
P,54635,14275100
P,52382,14304891
C,22476,285046
P,4426,14347570
P,2220,10029837
C,35206,432862
C,58230,471787
P,74134,14673913
P,76858,9810515
C,69732,412341
C,7993,349004
C,30280,10128
P,29032,15092774
C,50027,109880
C,93552,404958
P,73015,7742161
C,18883,399047
P,77702,15566365
C,45303,11245
C,83990,460324
C,93903,560132
P,82151,15568150
P,84191,7226423
P,1733,7226000
P,56037,7159473
P,47643,7036081
P,47034,15574607
P,76160,15453295
C,45580,17463
P,72356,15460434
C,91269,659555
P,60444,15417309
C,83743,79635
P,96382,6322308
P,79155,15392650
C,72638,872083
P,38051,15406352
P,56199,15349089
P,54371,5980945
P,28092,5675714
C,30565,988148
P,3802,15179214
P,8702,15112076
C,80270,3067083
P,86066,15101237
P,22478,4952114
P,56061,15143623
C,64761,3068287
C,58155,8614
C,75223,35215
P,15094,15040632
P,65301,2334450
P,11206,14902198
P,5968,14893635
P,79561,14850072
P,32300,2496353
C,35205,2471330
P,39961,14801065
P,24542,14799435
C,61376,2351119
P,983,14786523
C,93170,435065
P,72407,12821688
P,11236,12823069
C,77602,455756
P,14501,2967210
P,51129,12778724
C,39515,474339
P,11111,12701059
P,53256,3130202
P,63586,12735973
C,68992,46993
P,60655,3142637
P,98302,12771966
C,99428,527828
P,69768,12804893
P,35793,12842881
P,29416,12851765
P,2545,12839822
P,9307,12825321
P,37116,12845334
P,88220,3153497
P,28155,12739608
C,55887,137620
P,61723,12621193
P,32412,12629020
P,12076,12686661
P,29730,3400778
P,38123,12702730
P,62601,12616063
C,92158,44600
C,88906,77685
P,89940,3111102
P,4749,2787687
P,28118,12717289
C,77917,8746
P,17248,2566750
P,52738,12677057
P,7098,12749966
P,29810,2659689
C,26873,46780
C,85942,103742
P,26752,12751224
P,24332,12767245
C,90328,81575
C,58191,11895
C,9443,5856
P,18983,2838445
C,31589,171961
P,34421,12379307
C,28941,8469
P,44182,2625648
C,37215,56647
P,18334,2567203
P,75036,2713801
C,57134,151858
C,60703,215649
P,27008,2681272
P,31138,2785088
P,2979,2921044
C,60630,56599
C,43535,102321
P,94949,3051512
C,838,11525
C,18384,55106
C,1828,9881
P,479,2386591
P,79906,2731165
C,70116,7985
C,56217,228289
C,44056,58252
P,24682,2723358
C,17652,198211
P,60719,2444005
P,33697,2716630
P,25205,2666285
P,70047,2815964
C,54652,277136
C,54764,8292
C,71349,31055
C,36379,8406
C,16399,8107
C,48492,3237
P,19545,3223497
P,29153,3314257
P,70241,3466323
C,85928,8425
P,7329,905502
C,90795,61005
C,86045,8710
P,2999,374255
P,72550,3526589
C,88487,8154
C,51272,9668
C,99248,3480
C,11405,3114
P,27795,3333541
C,12330,2547
P,32779,62793
P,74065,3259930
C,44202,16885
C,73459,9764
C,79425,359642
C,57876,55161
P,86848,3191243
P,8758,9384
C,50657,9564
C,41098,7596
C,28938,117376
P,81175,2991052
P,39868,3044990
C,79062,67165
P,6407,2981200
C,53713,7565
C,5196,8520
P,52585,3008950
C,21350,10574
P,70400,2939184
C,79338,7180
C,5772,165891
P,34767,3113406
P,11343,16302
P,43499,4718
P,54506,2928111
C,60825,67354
C,8324,1151031
C,60174,27444
P,85623,2828000
P,98977,2802689
C,88867,2424
C,20652,1146593
C,80195,7709
C,2696,8974
P,97429,2706278
C,77027,71051
C,16840,37528
P,1175,2510628
C,42156,7463
P,98201,2539147
C,81122,9874
C,49746,56341
P,20928,2309372
