role,n,time
P,62184,5775
P,62134,647
P,52088,510
P,21721,483
P,1418,536
P,72,420
C,97560,5833
C,11006,508
C,9437,365
C,33959,395
C,35894,320
C,1929,306
C,5419,452
C,4216,357
P,28392,905
P,98427,436
C,69167,303
C,44,494
C,8689,454
P,92191,703
C,22877,445
C,29091,524
C,5876,379
P,46744,956
P,51861,444
P,6247,478
P,1785,1956
C,46170,522
C,49557,532
C,23123,554
P,4384,908
P,570,490
P,43406,425
P,17827,490
P,52766,691
C,46757,517
C,54972,347
C,11204,513
C,50672,11030
C,7640,606
C,6324,510
P,55348,1697406
P,96596,457
C,29147,1668
C,27390,418
C,4776,495
C,78412,411
P,48213,2359111
P,82856,506
C,44550,495
C,64923,378
C,32379,461
C,5863,298
C,6261,335
P,22565,784
P,51513,295
P,73956,504
P,1506,444
C,90211,4104862
C,35803,451
P,39459,1482
P,44745,457
P,28005,436
P,55909,462
C,17928,390
C,20181,388
C,36499,471
C,60438,420
C,52687,471
C,4920,6292289
P,42852,9039571
P,30822,316
P,79709,332
P,13001,298
P,27491,13646084
P,646,14104400
P,3899,15931526
P,605,16718716
C,74307,372
C,6655,298
C,44547,293
P,46766,17391969
P,28277,267
P,8081,191
P,4718,324
P,12430,19997397
P,24365,20372409
P,489,19584979
C,55915,539
C,37461,295
C,39611,280
C,44287,440
C,21592,308
P,16855,513709
P,90066,392
P,41804,318
P,35107,280
P,4905,21269162
P,6630,21999782
C,78108,3751965
C,92617,267
P,97162,23260336
P,17929,277
P,59039,256
C,30616,6177585
C,50115,369
C,45392,324
C,126,255
C,41956,202
C,17883,8371144
C,8826,8485760
P,52251,10796263
P,95929,283
P,45070,264
C,91174,15822669
C,65598,336
P,52612,11726030
P,28632,315
P,33464,277
P,7864,356
C,84591,12302611
C,20160,377
C,39955,363
P,86958,13209474
P,13818,342
P,37901,309
P,26947,254
C,65283,356
C,81001,374
C,25117,308
P,77120,14287344
P,42303,284
C,95524,14635986
C,36545,14798229
P,76675,16082892
P,14241,281
P,5825,240
P,61712,214
P,38964,16173923
C,25109,432633
C,11705,290
C,80248,288
C,54943,284
C,19347,265
P,84400,1295864
P,16532,309
P,92252,235
C,82622,1645570
C,18698,310
C,18866,282
C,52259,246
C,19552,1895804
P,99221,2283143
P,59658,243
P,4383,237
C,63358,2719155
C,74602,301
C,31277,15747766
P,84686,3375267
P,66700,254
P,1025,288
C,91375,15290241
P,64999,4052253
C,35378,14784944
C,65202,320
C,18333,20461249
C,8266,20672637
P,65638,14313030
P,33029,308
P,30210,245
P,14893,215
P,26407,28367312
P,4879,14364023
P,5482,29004405
P,9755,30039774
P,1386,298
P,5461,30694286
C,28853,10434582
C,85530,317
P,62432,14164461
P,30941,266
P,10631,34847825
P,5974,34007307
P,6510,36474190
C,89885,13650732
C,28898,409
C,79064,315
P,50529,13302717
P,19171,379
P,47847,408
P,28991,330
P,18276,318
P,19083,34563439
P,10559,37809820
C,95756,2487223
C,70185,353
P,36419,12931481
P,42645,315
P,71923,298
P,18200,34255683
C,80221,11065944
C,92719,287
C,14133,27754531
C,12063,27772602
P,90353,6970172
P,67678,265
C,91496,11104870
C,17172,267
C,20623,257
P,85564,7509080
P,74017,256
P,820,196
C,91881,10965103
C,60692,280
C,34416,23891486
P,85462,8436235
P,90600,221
C,36191,10795555
C,48732,385
C,72867,212
P,26624,9362852
P,319,317
P,29507,369
P,70124,224
P,39572,202
C,86227,10967032
C,92699,314
P,91689,10755103
P,80604,275
C,67563,10472335
C,35647,294
C,22203,218
C,35487,11403044
C,13886,11532148
P,34285,979558
P,10249,265
P,84730,183
P,55553,201
C,34553,10496998
C,61983,282
C,23758,267
C,57161,266
P,64496,1924610
P,61140,188
C,71955,10431498
C,8479,200
C,5579,291
C,13932,186
C,20502,182
P,42931,2763552
P,42000,292
P,41211,229
C,63564,10471713
C,35513,310
C,36192,373
P,98475,3718448
P,44401,236
P,6238,219
P,10899,210
P,3937,206
C,42950,10963268
C,43522,280
C,10019,272
C,62814,31521233
C,13806,31837835
P,69624,10848754
P,78200,251
P,31388,10924642
P,16393,41428325
C,32228,7873435
C,28707,335
C,75992,295
C,22055,231
P,64260,10558239
P,1595,193
P,38548,239
P,47274,197
P,10739,45950222
C,30191,24082760
C,79341,294
C,77483,223
P,66548,10291734
P,46970,237
P,63091,44664580
P,9638,47879363
C,63364,2177653
C,71474,236
P,40581,10137777
P,25059,284
P,31756,290
P,35288,44833391
C,81819,10095950
C,99283,231
C,12024,30267925
P,35109,5782030
P,69623,255
P,39824,225
P,22876,234
P,26806,208
C,47501,9806176
C,32226,235
C,689,177
C,7885,175
C,68158,166
C,13454,6582770
P,92107,7054844
P,25717,205
P,24915,207
P,26632,172
C,61383,9977046
C,35191,331
C,19488,237
C,41609,190
P,80496,7941122
P,79259,192
C,85523,9870262
C,40599,324
C,44595,20919234
C,1181,314
P,69600,8729470
P,23203,225
P,172,195
P,44841,189
C,94653,9862039
C,31357,261
C,5171,244
C,9706,230
C,7424,9407922
P,29660,20672454
P,72792,351
P,2928,326
P,54718,233
C,72470,9894778
C,8130,307
C,22440,241
C,44536,225
C,27872,408477
P,71431,991943
P,31006,167
P,79490,204
C,85192,9760069
C,92119,232
C,5442,242
P,36878,1838082
P,31753,200
P,27123,165
P,18558,191
C,85902,9737639
P,85293,2505804
P,82554,205
C,34037,2782568
C,18284,307
C,40964,270
C,87344,230
P,73095,3259724
P,57469,206
P,42137,477
C,77587,9233116
C,75947,206
C,22464,9237850
C,12281,41642047
P,99939,9159865
P,86727,205
P,5967,16442901
C,88095,6690636
C,97908,204
P,78718,8885743
P,96679,224
P,7582,166
P,3048,8902993
C,88637,19365766
C,27562,249
C,22910,33232718
C,53722,275
P,94523,8790364
P,62279,340
P,33539,190
P,9486,56541481
C,95316,1973194
C,77477,350
P,86829,8655872
P,14419,175
P,32291,237
P,25839,53560424
C,19844,8690370
C,65394,404
C,82016,310
C,10536,39447210
C,7745,46570716
P,72173,7120071
P,51438,303
P,61184,203
C,55513,10309678
C,88452,260
C,30408,185
P,65038,7600686
P,2733,209
P,8634,174
P,43101,196
P,7693,175
P,33099,160
C,93002,10175060
C,47752,44095295
P,87885,8274088
P,42734,248
C,93043,10198603
C,44206,10101341
C,21331,8826108
P,97148,8961440
P,8574,213
P,23931,200
P,61675,194
C,63149,10008101
C,80967,226
C,19052,199
C,6866,202
C,9124,186
C,9918,160
P,77056,19999749
P,41438,205
P,38313,204
P,19620,194
C,53090,9931621
C,64770,185
C,44079,190
P,23117,760587
P,24736,169
P,18771,163
P,98851,161
C,93097,992736
C,64125,370
P,54698,1370210
P,93004,158
C,53643,9723822
C,98695,311
P,76691,1923260
P,72766,208
C,96740,9580328
C,48959,188
P,66637,2331520
P,3526,247
P,52310,195
P,27095,236
P,15766,165
P,6391,166
C,94498,9616235
C,51718,163
C,13824,9638306
C,17006,50606522
C,15495,51252514
P,20871,9466958
P,6146,239
P,91976,44145121
P,30478,260
P,18380,224
P,12428,186
C,46317,7302632
C,78573,210
C,31275,196
P,77557,9357172
P,85625,63235880
C,97325,9060445
C,77913,272
P,23441,8943944
P,32755,199
P,11005,161
P,92924,180
P,21546,63058033
C,87533,1564237
C,38265,199
C,16752,174
C,22285,180
C,27063,221
P,99888,8962952
P,86722,323
C,73520,8910263
C,38870,160
C,53201,176
C,22863,55737678
P,38285,4596654
P,97282,289
C,42987,7041208
C,9781,353
C,4023,246
C,75208,197
P,68107,5043052
P,90864,221
P,5474,184
C,86558,7010983
C,80521,202
P,70757,5503793
P,97945,205
P,2682,165
C,71313,6977168
C,21629,398
C,54123,210
P,38627,5994773
P,59242,349
C,49469,6822754
C,18468,233
C,57533,207
P,27483,16777625
P,35751,324
P,68899,210
P,39504,190
C,60478,6804001
C,14013,290
C,45332,26779881
C,26385,16883003
C,25846,313
P,78036,1257632
P,78765,374
C,73746,7368136
C,48880,37762484
C,28977,385
P,90639,1933477
P,24955,381
P,71976,275
C,55633,7531669
C,49255,430
C,2370,264
C,18619,196
C,1497,251
C,67843,40882730
P,98739,2745635
P,6694,428
P,54367,277
P,20726,215
C,87039,7933155
C,44635,397
C,13207,293
P,35388,313
P,1392,219
P,37668,197
P,86359,205
C,91925,3408815
C,84313,323
C,19402,52766631
P,62798,4939643
P,90821,220
P,37659,7670415
P,3201,322
C,13838,5953351
C,36699,266
C,94873,245
C,44886,192
P,94554,7720401
P,25489,194
P,67198,7747481
C,64004,16746221
C,96199,352
C,31855,7803364
P,37678,7709672
P,31876,254
P,23990,25668816
P,92564,314
C,9767,1582723
C,20323,338
C,40223,194
C,77071,158
P,23577,7654484
P,29647,166
P,26036,200
P,38075,16701661
P,26374,19272979
C,75958,7651414
C,75592,313
C,26709,7650527
C,4037,3715915
P,90434,4295175
P,72349,219
C,39448,7562204
C,77919,340
P,63469,4674307
P,35921,167
P,29050,164
C,96544,7577663
C,27213,328
C,45326,226
P,80433,5604164
P,3986,206
P,60292,179
P,47698,205
C,75097,7635669
C,2539,301
C,52961,181
C,45393,176
C,7889,155
P,59782,6312970
P,20520,166
P,80362,198
C,80121,7684635
C,66262,330
C,16518,182
P,80271,14510606
P,70551,232
C,14896,105870
C,39745,207
C,12054,165
C,43709,170
C,44272,174
P,76649,605618
P,89241,190
P,24734,186
C,99556,7089159
C,55513,214
C,39167,46887717
P,20955,1242199
P,35845,315
P,49992,240
P,35592,239
C,72075,6853398
