role,n,time
P,7159,169777653
C,3692,86161973
P,4835,170599079
C,6584,86425328
P,4658,170835351
C,4630,86806083
P,6667,170901916
P,7388,171645183
C,931,88325461
P,4243,172884562
C,6328,88869867
C,8258,88988431
P,8963,173552701
C,9235,89408677
P,1240,174161148
C,3982,90393737
P,7725,174794176
C,5240,91025879
P,1622,175692370
P,385,176152680
P,6956,176259230
C,6664,92215581
P,3996,176350980
C,1543,92430606
P,8589,176578757
C,5075,92766943
P,5258,176950715
C,826,93000178
C,693,93171840
C,7312,93393245
P,8046,178012006
C,623,93879772
P,824,178217897
C,295,94142395
C,7029,94189432
P,6557,178611569
C,8318,94346352
P,4704,179083050
C,5062,95033410
P,6176,179683917
C,2348,95297600
P,5374,180683039
C,3922,96664005
P,6167,181805956
C,9985,97386169
P,9827,181967729
C,6929,97432434
P,2083,182240628
C,46,98429952
C,8459,98738688
P,8257,183362707
C,8299,98769617
P,3760,183511518
C,1328,99243999
P,1539,183873668
C,7933,99553114
P,8090,184148199
C,3292,100245276
P,1854,185334985
C,5241,100581865
P,5721,185401460
C,8167,100805116
P,599,185622816
P,2196,186366278
C,2529,101920346
P,8590,187172937
P,1265,188361967
C,9893,103800230
P,1531,188484920
P,785,188528279
C,1819,104446224
P,83,189113319
P,6447,189451920
C,6505,106050114
P,8817,190591739
C,524,106148850
P,1600,190860720
C,771,106893654
P,1034,191575008
C,1749,107036271
P,805,192036870
C,2448,107259244
P,4645,192193618
C,2754,107560887
P,8621,200246585
C,7797,115463980
P,3508,200361941
C,2100,116017885
P,6049,201003598
C,1115,116550577
P,29,201701217
C,9823,116848428
P,8691,202217761
C,3989,117368204
C,9634,117545664
P,8172,203007833
C,3774,117957406
P,2630,203071247
C,2006,118664240
P,4253,203999982
C,7250,119162512
P,453,204652055
P,3729,204938894
C,6099,119877439
P,9102,205745476
C,3279,120605790
P,3057,205873598
C,6329,121570654
P,4489,207208167
C,466,122046228
P,9058,207295155
C,2147,122208525
P,2880,207661018
C,2681,122481902
P,3505,208729007
C,8151,123364065
C,7694,123670035
P,8494,209335254
C,8459,124128354
P,1631,210019825
C,2341,124494106
P,5552,210566220
P,3948,211957961
C,9888,126836666
P,1138,212613631
C,262,126908280
P,27,212974837
P,4738,213079312
P,9668,213592075
C,8634,128007837
P,1718,213654165
C,2334,128015486
P,3051,213722033
P,6438,213628669
C,2066,127964347
C,1932,128049996
C,3992,128070860
C,871,128022233
P,7812,213823067
C,9072,128083347
P,5002,213898838
P,3337,213885528
C,3627,128217413
P,2352,213971635
C,772,128293567
P,959,214018649
P,3680,213979151
C,4696,128239861
P,4985,213934692
C,824,128289185
C,7675,128186283
C,7382,128225149
P,7543,214133171
P,5316,214175999
C,158,128211869
C,8155,128148038
P,5122,214255417
C,7853,128186938
P,1449,214260368
C,5827,128265799
P,6847,214367954
C,353,128286939
P,2635,214411250
P,905,214373231
P,116,214454059
C,9392,128508097
C,152,128567491
P,7993,214545380
C,8820,128480225
C,269,128426021
P,8110,214585669
P,845,214569072
P,5243,214580472
C,9978,128587722
P,2861,214660921
P,6464,214693691
C,9526,128741546
P,3533,214711581
C,1883,128717719
P,1191,222959198
C,5636,136939926
P,5778,222986166
C,6689,137011815
P,7474,223059330
C,4314,137049994
P,9677,223111324
C,902,137060699
C,2003,137133002
P,8610,223262085
C,2093,137212071
C,7033,137102149
P,8124,223525258
C,2547,137062273
C,7678,137113446
P,7037,223663245
C,2265,137218411
P,1526,223718195
C,6888,137157710
P,8551,223767963
C,7817,137201770
P,5108,223768589
C,8765,137176078
P,9712,223836133
C,3115,137280958
C,918,137261603
C,8579,137231795
P,247,223911250
P,1823,223875871
P,2809,223902955
P,716,223931553
P,5810,223964208
C,7751,137549437
P,4535,223980430
P,935,223945961
P,7547,223852193
P,1400,223908718
C,8459,137685235
C,2265,137584205
C,7485,137617027
P,4179,224016206
C,6211,137676051
P,2332,224061216
P,9393,224039664
C,2930,137685600
C,418,137632316
P,4490,224194353
C,7048,137553891
P,7001,224202057
C,5554,137644404
P,8037,224234588
P,2925,224251219
P,3930,224255575
C,2014,137638242
C,5005,137674491
C,5585,137634648
P,8354,224471048
P,2131,224521017
C,8832,137709739
P,6490,224549254
C,8902,137789810
P,6412,224570268
C,4755,137855696
P,2762,224601020
P,2584,224541113
P,5548,224387198
C,4900,137924190
P,2462,224438415
P,695,224527593
C,5000,137954847
P,6945,224594669
C,8203,138037253
C,3131,137811425
P,4147,224701947
C,1725,132179602
P,5713,224388368
C,7763,131986495
C,9324,137928612
P,6683,224791271
P,9009,224721096
P,273,224847389
C,9831,132063464
C,5803,132041929
P,1129,224949774
P,4090,224943546
P,1025,224941402
C,6551,132324852
P,1766,225002177
P,3262,224994490
P,9857,224993980
C,6782,132503928
P,4038,225142596
C,8491,132559443
P,8393,231381219
C,4840,138868312
P,8186,231513593
C,1163,138803705
P,3090,231492753
C,9112,138881793
P,4763,231384688
C,6087,138876890
P,7663,231414334
C,9070,138997318
P,9582,231423406
C,7329,138982044
P,8921,231539691
C,148,139044758
C,6532,139071025
P,7999,231631565
C,1797,139040287
C,6105,139128191
P,5611,231879596
C,3071,139260768
P,5122,231941815
C,6313,139334507
P,7284,232105070
C,4166,139463203
C,4686,139489202
C,8795,139242803
P,9578,232285827
C,2490,139274666
C,6977,139260764
P,3946,232339533
P,5421,232379422
C,1208,139354792
P,1953,232337915
C,888,139309388
P,6226,232367437
C,3095,139356845
P,6191,232407354
C,5227,139279536
C,703,139418732
P,5224,232575087
C,7484,139542540
P,5849,232638272
C,3919,139516524
C,7329,139549603
P,5659,232717586
C,4502,139637590
P,632,232739935
P,4781,232747870
C,1795,139576050
P,6133,232787671
C,8333,139586973
P,6577,232812464
C,7067,139616346
C,2357,139582862
P,8752,232889819
C,326,139668926
C,8428,139653814
P,6880,233055014
C,6526,139717145
P,8988,233187279
C,1145,139833912
P,6178,233304322
C,9547,139791774
C,3317,139787374
P,6453,233353657
C,8157,139857896
P,1776,233381946
P,7497,233424353
C,9161,140073182
C,2267,139995711
P,2516,233531045
P,1922,233509376
P,4302,233466116
C,3408,140073466
P,1141,233557937
C,181,140016312
P,2390,233582832
C,1334,140065706
P,4931,233721515
C,9382,140159545
P,2424,233757054
C,4368,139862558
P,7383,233839393
P,4195,233772565
C,9338,140001973
C,5283,140107859
P,3907,233974111
P,7819,234011498
C,6655,140113013
P,2113,234084055
P,6759,234134927
P,5437,234125175
C,8292,140238665
C,6915,140161854
P,7880,234191563
C,8091,140233423
P,7428,234150203
C,1721,140277422
P,2929,234372659
P,3542,234352488
P,8340,234403703
C,3545,140257065
P,1803,234480395
C,2383,140084973
C,901,140120872
C,1751,146809545
C,8116,140111780
P,8082,241137955
P,1512,241099584
C,9480,140114197
C,1440,146582498
P,7828,240774472
C,4955,146996680
C,1503,146914027
P,8515,241521829
C,8725,147038808
P,6583,241598805
C,4415,147121373
C,362,147055711
C,3352,147184347
P,9187,241792539
C,7869,147109463
C,7116,147180223
P,8329,241854209
C,9098,147280942
P,500,241832185
P,2742,241845538
P,8193,241814720
C,8893,147225926
P,486,241874077
P,5779,241904511
C,6958,147434349
P,5178,241907732
C,7172,147449749
P,3421,241915972
P,5953,241842461
C,1780,147505354
C,534,147478859
C,721,147473135
P,9905,242280665
C,7393,147356880
P,3701,242294143
C,2747,147468343
C,4530,147444759
P,5410,242448817
P,2826,242455537
C,6026,147399422
C,9927,147431619
P,1877,242551131
P,8239,242398564
C,8634,147595729
P,161,242462718
P,3951,242477232
C,4234,147700617
P,9132,242665129
C,4960,147724315
C,5322,147708962
P,1332,242729785
P,596,242690204
P,7263,242806289
C,6660,148021217
P,1103,243145302
C,1738,148271862
P,1432,243266660
C,627,148293521
P,7249,243363727
C,8262,148345805
P,5581,243342375
C,8226,148324956
P,4413,243637047
P,5484,243699302
C,7596,148586925
P,1199,243781829
P,6135,243811184
C,4208,148829345
P,5223,243875448
C,8594,148833853
P,4619,243844931
P,7435,243865316
C,8019,148785211
P,8071,243876388
P,412,243903513
P,4938,243878058
C,155,148838794
C,4355,148869547
C,9421,148945400
P,7422,244125280
C,1415,149056902
C,7329,149066510
P,6424,244177370
C,1911,148874035
P,5338,244131241
P,9150,244308726
C,9840,148987352
C,2360,149023267
P,5447,244442727
C,9864,149079501
C,8733,149055597
P,7204,244492537
C,2736,149096299
P,2678,244564100
C,2916,149132205
P,7284,244626883
P,6827,244595938
C,4065,149234021
P,4307,244826930
P,4948,244827160
C,2192,149310270
C,4404,149256141
C,7654,149329526
P,7798,244952955
P,4334,244923626
C,1944,158512277
C,1796,158767503
C,3082,158878189
C,8504,158927886
P,8330,254983244
C,5045,159064693
P,3403,255008452
C,868,159070791
P,9301,255120010
C,8504,159079950
P,182,255241860
C,879,159167349
P,5277,255296143
C,8679,159472298
P,8483,255644674
C,5441,159497204
P,1404,255676622
C,4251,159585145
P,5800,255756213
C,131,159694405
P,6546,255848038
C,160,159678143
C,1285,159855959
C,4522,160478329
C,1931,160600191
C,6422,160757581
P,9951,257395400
C,5804,160874854
P,8637,257414903
C,5382,160920716
C,4453,160970456
P,8807,257667075
C,1179,160867363
C,5787,160916418
P,4471,257745431
C,8463,160964042
P,5870,257784379
C,9617,160912349
P,39,257824362
P,9013,257892310
C,9694,161099330
P,1420,257889783
P,7695,257965050
C,2831,161212000
P,1441,258025942
C,957,161278654
C,1859,161130047
P,3570,258129526
P,6039,258081597
C,7652,161248124
P,62,258241775
C,519,161402768
P,9430,258432276
C,8776,161564404
P,3459,258534096
P,5344,258568575
C,8752,161683536
P,6778,258537582
C,6314,161773309
P,2980,258602783
C,7549,161829690
P,8712,258860602
C,5248,161841572
P,2453,258873208
P,2526,254943507
P,2522,254967896
C,6332,161887519
P,1880,255067285
C,8835,162026118
P,659,254996090
P,3871,255029730
C,5939,162234173
P,6690,255079325
C,6675,162230661
P,8180,255132699
C,7742,162282112
P,2967,255136314
C,2139,162341979
P,3465,255218430
P,4358,255263913
C,7521,162455850
P,7959,255274455
C,762,162545885
P,4146,255398866
P,9673,255369802
C,7885,162525767
P,3846,255430457
C,1601,162537760
C,5502,162571170
C,3493,162592585
P,6058,255491306
C,2479,162607404
C,8634,162700831
P,9775,255811165
P,2864,255844020
C,470,162787544
P,7870,255922596
C,6007,162816947
C,9603,162847298
C,3121,162840107
P,8538,256019009
P,3545,255974526
C,3559,162938865
C,542,162950833
C,4345,163090728
P,5590,256077075
P,2319,256308820
P,1516,256156483
C,3819,163122330
P,5237,256260598
C,9307,163159123
P,3710,256264936
C,1530,163263029
P,3590,256340236
P,5252,256459511
C,6193,163282896
C,7810,163507912
P,603,256792010
C,6835,163767078
P,2053,256910764
C,1581,163821777
P,3105,257023506
P,3800,257053755
C,5056,164015102
P,4594,257115380
C,6139,164070826
P,771,257230643
P,2303,257258593
C,3982,164386356
P,3007,257299004
P,6523,257370440
C,9011,164518429
C,6790,164533599
P,5290,257468797
P,7569,257403897
C,5653,164647439
P,2437,257438826
C,4352,164699771
P,9757,257423530
C,377,164757944
P,6441,257477592
C,3398,164837559
P,7549,257691201
C,4245,164849702
C,9072,164862030
P,5258,257848804
P,4268,257772625
C,8441,164935400
C,1803,164987524
P,465,257961273
P,1990,258011504
C,6575,165278457
P,1523,258124430
C,1015,165235873
C,3842,165260356
P,5097,258004087
C,9023,165350341
P,3982,258199268
P,8051,258132850
P,7917,258197838
C,4556,165357403
C,9991,165488670
P,6534,258199358
C,8836,165455689
P,9675,258228034
C,8613,165504456
C,8369,165605725
P,6824,258340423
P,6877,258540941
P,321,258686913
P,3324,258413456
P,4218,258615345
C,8456,166126500
P,927,258730351
C,1551,166148565
P,6359,258805020
C,6458,166182206
C,9055,166246636
P,8335,258936816
C,9628,166385663
P,9151,258841842
P,5654,259076595
P,1197,259069626
C,6755,166499586
P,5914,259319305
C,6700,160706726
P,9862,259574739
C,7120,160945401
P,1783,259692767
C,4402,160915488
P,7714,259724157
C,4267,160920595
P,9103,259928002
C,9224,161115463
P,1782,260039786
P,7469,260068063
C,5402,161295800
P,8650,260230797
C,4683,161448104
C,6847,161451864
P,8368,260445214
C,8260,161577363
P,5804,260542862
C,7817,161613878
P,6928,260613193
C,2595,161677393
C,2549,161667755
P,3515,260701511
P,6771,260748854
P,107,260840328
C,4534,161902247
C,4100,161780050
P,8540,260972529
C,490,162006676
C,1947,162250626
C,3723,162301629
P,8465,261590226
C,1557,162365933
C,7232,162420349
P,9730,261859937
C,9859,162472541
P,7463,261922909
P,2177,261985317
P,1068,261971347
P,7945,261995780
C,4928,162562293
P,2624,262098355
C,4885,162504202
C,1060,162417379
P,5074,262107033
C,1797,162419306
C,6318,162532138
P,4443,262248465
C,357,162428762
P,4790,262114214
C,6969,162582059
C,9758,162464614
P,4862,262295094
P,2381,262325261
C,9736,162441275
P,5569,262283756
P,6261,262127082
C,7356,162438889
P,5272,262380031
C,8226,162397890
P,6697,262563069
C,8335,162611833
P,8053,262417769
C,8407,162641162
P,8374,262688503
C,5274,162632245
C,8068,162610757
P,2112,262784534
P,5660,262838330
C,3997,162866332
P,121,262927539
C,732,162881501
P,4961,262895830
P,9384,262958712
C,1743,163061861
C,214,163119080
C,6090,163183064
P,7117,263273417
P,4050,263308146
P,4737,263357145
C,9798,163195733
P,5815,263333614
C,3736,163147440
C,3833,163105105
P,2997,263488218
C,8614,163172702
P,88,263444424
C,4319,163241976
P,1794,263511913
P,1220,263532769
C,267,163211623
P,930,263470078
C,3941,163263168
C,2510,163240955
