role,n,time
P,80675,6420
P,41189,673
P,32411,478
P,4672,704
P,34617,1721
P,3238,498
P,1157,586
P,1828,568
C,77219,5579
C,62716,746
P,91359,1514320
C,43521,781
C,85185,393
P,96861,2165464
P,9353,150
P,51171,145
C,1448,403
C,5212,422
C,86481,342
C,41136,718
P,20674,3593345
P,31428,200
P,69023,130
P,4136,121
C,37992,847
C,28351,880
C,83186,507
P,51826,5348298
P,42892,122
P,31409,162
C,46017,671
C,86098,716
P,51406,6282437
P,43539,131
P,14083,140
P,28246,92
C,2680,684
C,94289,635
C,30187,809
P,64552,7366979
P,7011,128
P,31287,127
C,63196,732
C,41862,419
P,94631,8143294
P,65700,115
C,87225,501
C,23441,470
P,37014,8814112
P,41939,101
P,46701,9267900
C,96489,556
C,17766,469
C,80080,337
P,97669,10290040
C,92772,550
P,36077,10938442
P,75524,101
P,68404,130
C,99683,735
C,46519,372
P,67593,12128474
C,57287,665
P,92536,12747541
C,11710,838
C,29320,755
C,90901,745
P,80665,13550794
P,50946,171
P,35743,103
C,67196,742
C,79329,427
C,17360,489
P,80912,14359380
P,96229,14765235
C,28129,779
C,39153,637
C,96627,541
P,53106,15578727
P,4682,139
P,10368,101
P,33690,92
P,22689,107
P,13993,143
P,16196,120
C,31716,685
C,28892,557
C,27316,443
C,46935,390
P,20507,17424892
P,74279,135
C,44268,929
C,17764,1070
C,81984,569
P,54999,18496914
P,30333,155
P,31746,141
P,61704,179
P,15319,160
C,44251,1345
C,85417,859
C,58136,745
P,45078,21016659
P,88958,280
P,47254,124
P,1558,21444479
P,9082,116
C,45482,818
C,43749,737
C,27481,673
C,80833,621
P,2906,22342645
P,3519,121
P,51790,125
P,92142,114
C,17405,980
C,12539,854
C,23115,766
C,87358,693
P,75891,24133505
P,76753,142
P,33622,100
C,43286,916
C,21752,587
C,21048,536
C,49061,455
C,33311,479
P,22321,25557651
P,88136,131
P,54273,25991307
C,48396,831
C,94604,520
C,38075,519
P,74145,27168113
P,46021,87
P,9817,115
P,39773,115
P,16794,183
C,86758,773
C,22942,359
C,31169,440
P,91540,28518273
P,20774,28827497
C,80048,800
P,579,29716942
P,22073,116
P,46828,158
P,31798,30420334
C,66469,731
C,1370,359
C,46944,371
C,35867,507
P,11614,31285728
P,22246,121
P,31268,131
P,55274,89
P,12776,110
C,3608,532
C,43345,474
C,74440,374
C,52093,507
P,28016,33014168
P,38571,132
P,7045,145
P,70142,136
P,10935,108
C,72891,578
C,10671,375
P,59748,33888465
P,49866,125
C,47302,641
C,83664,490
P,12383,35080440
P,75392,127
P,13229,35684308
P,46676,90
C,70267,703
C,9553,626
C,47983,469
C,61952,486
P,23099,37090172
C,7769,445
P,60714,37625872
P,86316,102
C,13082,493
C,77916,373
C,70712,462
P,14840,38907163
P,38792,220
P,70111,114
C,99063,588
C,9691,535
P,9431,40421666
P,84094,115
P,50251,103
C,54435,609
C,67809,485
P,40980,42012989
P,44415,162
C,1307,775
C,45116,399
C,28813,446
C,55228,382
P,6639,42908783
P,26710,139
P,33849,168
P,11682,103
C,58817,605
C,18790,355
P,1598,43767646
P,53000,136
P,56934,115
P,72840,105
C,2371,460
C,32468,442
C,40200,370
C,5008,318
C,76197,267
P,91947,44882876
P,53943,126
P,20932,125
C,79213,389
C,97730,291
P,62358,46316930
P,95541,99
C,80271,369
C,57655,354
P,43218,46996450
P,50888,144
C,70861,330
P,973,47660160
P,84946,112
C,26894,298
C,82033,366
C,23823,291
P,25184,48404765
P,16168,151
P,47522,146
P,12887,224
C,94874,384
P,24160,212
P,73225,105
P,77440,138
C,53082,332
C,75269,283
C,65047,237
P,52357,50039118
C,42195,343
P,87188,180
P,59247,144
C,1251,331
C,23594,233
C,88249,667
C,6598,206
P,13702,51961751
P,97957,155
P,8670,130
P,9457,52920950
P,15529,162
P,3768,54061067
C,73494,577
C,66165,303
P,10386,54714964
P,25335,195
P,90468,95
C,29458,542
C,72160,408
P,3066,55575529
P,37191,153
P,3750,132
P,37184,100
C,86815,386
P,77182,56289314
C,43709,374
C,15105,274
C,63905,283
C,22156,176
P,16792,57245584
P,12834,141
P,25615,113
P,13342,97
P,39017,159
C,66485,525
P,35145,58067563
P,57818,135
P,35403,118
C,32227,464
C,95235,473
C,3028,349
P,60916,59754847
P,81718,156
C,5048,325
C,99976,950
C,12136,351
C,60213,266
P,48505,62270320
P,73823,120
P,69715,122
C,65811,471
C,75202,299
C,29385,271
P,33426,63504828
P,8585,112
P,89034,166
C,55965,415
C,64213,348
P,24613,64358984
P,19304,109
P,31173,121
P,21220,108
P,28648,114
C,18591,303
C,82132,252
P,25307,65270631
P,93627,90
P,14357,65960474
C,65155,352
C,45978,200
C,77331,248
P,19904,66580881
P,65486,506
C,37768,374
C,55908,238
P,95195,67359875
