role,n,time
P,33,5531
P,48,903
P,62,724
P,91,499
P,50540,458
P,55443,710
P,30,530
P,6,490
P,33,453
P,79932,487
P,51,488
P,24,559
P,67,427
P,33,547
P,20,482
P,44,432
P,63,457
P,71,535
P,60,446
P,71,827
P,83,441
P,42,642
P,93,556
P,2227,437
P,88,575
P,66,433
P,65,728
P,35,567
P,77,584
P,40,451
P,67,477
P,13,753
P,33,422
P,51,440
P,52,665
P,20,620
P,28,527
P,87,509
P,57,550
P,85,465
P,30,465
P,60,568
P,4,722
P,35,546
P,74,437
P,4,641
P,61,410
P,2455,596
P,94,434
P,6,472
P,26,454
P,69,427
P,78,840
P,79,546
P,5,515
P,50,413
P,2,612
P,57,4341370
P,90,1071
P,97,450
P,3384,589
P,24,405
P,55,524
P,72,452
P,11,459
P,45,437
P,29,412
P,52,538
P,69,460
P,96,458
P,16,643
P,69,515
P,5,442
P,52,481
P,33,466
P,66,393
P,32,795
P,80,509
P,57,438
P,98,409
P,26,401
P,85,482
P,42,467
P,6,548
P,19,411
P,53,439
P,49,454
P,3,415
P,91,407
P,24,615
P,3,413
P,46,441
P,49,437
P,30,357
P,29,589
P,28,474
P,63,441
P,32,461
P,49,411
P,31,385
P,50,713
P,19,520
P,75,405
P,79,400
P,67,460
P,91,14130
P,67,486
P,9,648
P,78,449
P,45,346
P,79,363
P,21,355
P,13,295
P,60,273
P,48,315
P,4,657
P,4,336
P,77,321
P,49,310
P,16,248
P,18,263
P,29,206
P,43,205
P,38,191
P,66,423
P,92,265
P,49,268
P,37,255
P,90,200
P,33,248
P,33,477
P,8,271
P,2,386
P,1,235
C,86915,4980
C,41,932
C,84,508
C,2867,478
C,99,328
C,31,497
C,37,905
C,35,382
C,75,451
C,24800,385
C,97,455
C,61,421
C,91,592
C,21,350
C,35,521
C,80704,482
C,26,289
C,85,425
C,68,357
P,19,2719823
P,54,88
C,89,727
P,40,3339695
P,88,128
P,7,126
P,3,132
P,52,107
P,8,80
C,66,652
C,84,475
C,88,477
P,39,4266552
P,28,146
C,5,462
C,54,338
C,62,358
C,16,391
C,73,247
C,82,372
C,3,304
C,386,335
P,94822,5198232
P,33,99
P,91,79
P,60023,131
P,65,98
P,58,117
P,99,75
P,47,107
P,16,91
P,40944,99
C,40695,562
C,36,518
C,38,508
C,88,399
C,46894,307
C,88,336
C,22,423
C,28428,457
C,68421,725
C,72,695
C,25,328
C,63,310
C,99,300
C,24,760
C,52,386
C,1248,479
P,48860,7755725
C,59,543
C,63,364
C,31,334
P,84,8347335
P,89,123
P,27,100
P,51,112
P,90,71
P,26,138
P,26,84
P,19,92
P,69,98
C,59,727
C,43,319
C,44,427
C,13,337
C,49,364
C,81,327
C,79,317
C,68,331
C,10,404
C,55079,317
C,22,379
C,46,374
C,49,336
C,753,504
C,62,305
P,37,10468302
P,29,115
P,43718,80
P,54,156
P,45,121
P,19,89
P,63,116
P,45,86
P,96,106
P,75,97
C,41,797
C,47,490
C,74,651
C,84,375
C,69,520
C,29,359
C,33,540
C,46,503
C,19,378
C,35,501
C,70,307
C,92,342
C,47,419
C,32913,412
C,51,446
C,26,336
P,14,13204965
P,38,125
P,93,100
P,97,78
P,42046,136
P,71092,94
P,89,82
P,56,93
P,7,95
P,16,79
P,29,85
P,11,112
P,57,85
P,21416,130
P,42113,114
P,72,79
P,44,14365390
P,32,130
P,7,150
P,49,129
P,80,112
P,77,15483772
P,84,103
P,64,149
P,43,82
P,30,86
P,35,16001763
C,12622,1122
C,73,482
C,48,405
C,56,510
C,64,363
C,50310,411
C,61885,283
C,81,335
C,48431,246
C,17,297
C,64,294
P,6,17001475
P,98,103
P,69,186
P,99,77
P,96,82
P,6898,104
P,5,82
P,50,90
P,79,63
P,75118,75
P,27,75
P,22,79
P,73,72
P,57188,92
P,68,102
P,1,85
P,50,88
P,34,85
P,57,18328594
P,33,114
P,28704,120
P,42,78
P,98,80
P,63,151
P,91,101
P,78,109
P,91,19180381
P,25,156
P,39,98
P,86,81
P,21,121
P,40,120
P,42,125
P,45,87
P,76,76
P,6,117
P,73,94
P,32,98
P,95,183
P,44,94
P,90,20326129
P,51,150
C,42,1015
C,48,474
C,58,631
C,79,422
C,72207,416
C,66,403
C,74,350
C,7,310
C,17,430
C,21,416
C,72025,563
P,91,21599584
P,30,134
P,12,148
P,80,85
C,41,717
C,10,311
C,4973,340
C,6,287
P,57595,22382884
P,8,136
P,100,119
C,93,471
P,94,22955730
P,68,133
P,10,23270719
P,11567,94
P,1780,104
P,54505,23722386
P,87,130
P,46,24287121
P,24,91
P,33,118
P,37,80
P,90,80
C,80,854
C,67,480
C,66401,106004
C,59,376
C,54,267
C,51650,400
C,27,253
C,19,308
C,40,352
C,60,355
C,62,297
C,66,354
P,4,25552464
P,61,121
P,36479,106
P,96203,112
P,26,121
P,86,26358190
P,98,104
P,54,141
P,3,26907183
C,73,966
C,28176,625
C,85204,434
C,97,243
C,97,391
C,44,400
C,21,364
C,96,382
C,88,530
C,18954,320
C,51,478
C,73,862
C,67,524
C,30410,403
C,94,310
C,93,300
C,18,790
C,26,478
C,31,477
C,1,764
C,79,430
P,96,29088175
P,91847,105
P,10670,125
P,39,79
C,7,329
C,20,272
C,27065,214
C,30,227
C,88,437
P,81,171
P,60,80
P,88,69
P,3,90
P,35,67
C,50,239
C,77349,223
C,29,174
P,14,30188258
C,10,300
P,31,30620399
P,4007,147
