method,id,time
asym,15,1
asym,15,1
asym,1,1
asym,1,1
asym,10,1
asym,10,1
asym,5,1
asym,5,1
asym,19,1
asym,19,1
asym,25,1
asym,25,1
asym,23,1
asym,23,1
asym,28,1
asym,28,1
asym,3,1
asym,3,1
asym,16,1
asym,16,127
asym,13,1
asym,13,1
asym,8,1
asym,8,1
asym,26,1
asym,26,3
asym,24,127
asym,24,1
asym,22,1
asym,22,1
asym,6,1
asym,6,127
asym,4,255
asym,4,1
asym,17,63
asym,17,1
asym,0,511
asym,0,1
asym,2,63
asym,2,255
asym,7,255
asym,7,1
asym,20,1
asym,20,511
asym,11,511
asym,11,1
asym,9,511
asym,9,1
asym,14,1
asym,14,511
asym,27,511
asym,27,1
asym,18,511
asym,18,255
asym,6,127
asym,6,1
asym,1,1
asym,1,1
asym,16,1
asym,16,1
asym,25,511
asym,25,1
asym,23,511
asym,23,1
asym,8,63
asym,8,1
asym,3,511
asym,3,1
asym,5,127
asym,5,255
asym,28,1
asym,28,255
asym,14,1
asym,14,1
asym,26,31
asym,26,127
asym,0,127
asym,0,1
asym,12,511
asym,12,511
asym,21,1023
asym,21,1
asym,10,511
asym,10,1
asym,24,1
asym,24,127
asym,17,255
asym,17,1
asym,7,127
asym,7,511
asym,26,1
asym,26,1
asym,28,1
asym,28,1
asym,11,127
asym,11,1
asym,19,1023
asym,19,1
asym,9,511
asym,9,127
asym,14,1
asym,14,1
asym,3,1
asym,3,1
asym,1,511
asym,1,1
asym,16,255
asym,16,1
asym,22,511
asym,22,511
asym,29,2047
asym,29,1
asym,4,511
asym,4,255
asym,0,1
asym,0,127
asym,12,1
asym,12,511
asym,10,1
asym,10,15
asym,26,1
asym,26,1
asym,19,1
asym,19,1
asym,6,1023
asym,6,1
asym,2,1023
asym,2,1
asym,8,511
asym,8,1
asym,29,1
asym,29,127
asym,15,2047
asym,15,1
asym,23,1023
asym,23,1
asym,27,1023
asym,27,1
asym,25,255
asym,25,1023
asym,12,1
asym,12,1
asym,17,511
asym,17,1
asym,9,1
asym,9,1
asym,7,255
asym,7,255
asym,20,511
asym,20,1023
asym,1,255
asym,1,511
asym,3,255
asym,3,1
asym,14,511
asym,14,1
asym,28,511
asym,28,255
asym,22,255
asym,22,1
asym,26,255
asym,26,127
asym,6,255
asym,6,1
asym,8,1
asym,8,1
asym,16,255
asym,16,1
asym,21,1023
asym,21,1
asym,11,255
asym,11,511
asym,18,1023
asym,18,511
asym,23,1
asym,23,1
asym,1,1
asym,1,1
asym,29,511
asym,29,1
asym,4,1
asym,4,511
asym,9,127
asym,9,1
asym,25,1
asym,25,127
asym,27,63
asym,27,1
asym,19,511
asym,19,1
asym,7,63
asym,7,1
asym,15,1
asym,15,511
asym,22,255
asym,22,1
asym,17,511
asym,17,1
asym,2,511
asym,2,255
asym,12,1
asym,12,511
asym,10,511
asym,10,127
asym,26,63
asym,26,1
asym,5,2047
asym,5,1
asym,28,255
asym,28,255
asym,23,63
asym,23,1
asym,8,63
asym,8,255
asym,3,511
asym,3,1
asym,20,1
asym,20,511
asym,25,1
asym,25,1
asym,6,511
asym,6,15
asym,1,1
