method,id,time
asym,19,1
asym,19,1
asym,21,1
asym,21,1
asym,25,1
asym,25,1
asym,11,1
asym,11,1
asym,3,1
asym,3,1
asym,8,1
asym,8,1
asym,23,1
asym,23,1
asym,6,1
asym,6,1
asym,28,1
asym,28,1
asym,26,1
asym,26,1
asym,0,1
asym,0,1
asym,15,1
asym,15,1
asym,20,127
asym,20,1
asym,18,1
asym,18,1
asym,7,255
asym,7,1
asym,9,1
asym,9,1
asym,12,1
asym,12,511
asym,10,63
asym,10,63
asym,29,511
asym,29,1
asym,24,7
asym,24,511
asym,13,255
asym,13,1
asym,3,1
asym,3,1
asym,22,511
asym,22,1
asym,19,1
asym,19,63
asym,6,31
asym,6,1
asym,16,1
asym,16,511
asym,11,1
asym,11,1
asym,25,255
asym,25,1
asym,8,127
asym,8,511
asym,18,255
asym,18,1
asym,12,1
asym,12,1
asym,10,1
asym,10,1
asym,14,511
asym,14,255
asym,21,255
asym,21,255
asym,27,1023
asym,27,1
asym,24,63
asym,24,1
asym,0,1
asym,0,511
asym,3,1
asym,3,1
asym,26,127
asym,26,1
asym,19,255
asym,19,1
asym,17,1023
asym,17,63
asym,28,255
asym,28,255
asym,7,127
asym,7,31
asym,11,127
asym,11,1
asym,13,1
asym,13,63
asym,10,1
asym,10,1
asym,8,1
asym,8,3
asym,25,127
asym,25,63
asym,23,511
asym,23,511
asym,27,1
asym,27,63
asym,16,511
asym,16,1
asym,6,1
asym,6,1
asym,12,255
asym,12,1
asym,18,63
asym,18,1
asym,3,1
asym,3,1
asym,20,255
asym,20,511
asym,0,1
asym,0,1
asym,9,1023
asym,9,255
asym,24,63
asym,24,1
asym,2,2047
asym,2,1
asym,22,1023
asym,22,1
asym,26,511
asym,26,1
asym,8,1
asym,8,1
asym,11,511
asym,11,127
asym,15,1023
asym,15,511
asym,17,511
asym,17,1
asym,19,255
asym,19,255
asym,13,511
asym,13,1
asym,3,1
asym,3,1
asym,25,255
asym,25,1
asym,27,7
asym,27,1
asym,29,1023
asym,29,511
asym,10,255
asym,10,1
asym,15,1
asym,15,1
asym,23,511
asym,23,1
asym,12,1
asym,12,1
asym,20,1
asym,20,1
asym,18,255
asym,18,1
asym,7,511
asym,7,511
asym,13,1
asym,13,1
asym,2,511
asym,2,1
asym,0,1
asym,0,1
asym,26,1
asym,26,1
asym,19,1
asym,19,1
asym,24,511
asym,24,1
asym,22,1
asym,22,1
asym,6,511
asym,6,1
asym,11,255
asym,11,1
asym,9,7
asym,9,511
asym,16,127
asym,16,511
asym,2,1
asym,2,1
asym,18,255
asym,18,1
asym,27,1
asym,27,1
asym,25,255
asym,25,1
asym,9,1
asym,9,1
asym,13,1
asym,13,1
asym,20,1
asym,20,1
asym,29,1
asym,29,511
asym,7,255
asym,7,1
asym,4,1
asym,4,4095
asym,25,1
asym,25,1
asym,10,511
asym,10,63
asym,15,1
asym,15,255
asym,23,511
asym,23,1
asym,17,1023
asym,17,1
asym,3,511
asym,3,7
asym,8,1023
asym,8,1
asym,6,1
asym,6,1
asym,12,1023
asym,12,1
asym,19,255
asym,19,511
asym,22,255
asym,22,1
asym,15,1
asym,15,1
asym,5,4095
asym,5,127
asym,26,511
asym,26,255
asym,0,1
asym,0,511
asym,20,1
asym,20,127
asym,23,1
asym,23,1
asym,2,1
asym,2,1
asym,13,255
asym,13,1
asym,25,1
asym,25,255
asym,11,255
asym,11,511
asym,7,1
asym,7,255
asym,4,511
asym,4,1
asym,9,511
asym,9,1
asym,29,1
asym,29,1
asym,16,511
asym,16,255
asym,6,63
asym,6,1
asym,22,255
asym,22,1
asym,0,1
asym,0,1
asym,19,1
asym,19,511
asym,17,255
asym,17,1
asym,26,1
asym,26,511
asym,8,127
asym,8,1
asym,3,511
asym,3,255
asym,12,511
asym,12,1
asym,5,63
asym,5,1
asym,25,1
asym,25,63
asym,29,1
asym,29,1
asym,10,511
asym,10,511
asym,15,1
asym,15,1
asym,0,1
asym,0,3
asym,23,511
asym,23,1
asym,20,1
asym,20,511
asym,2,511
asym,2,1
asym,0,1
asym,0,1
asym,9,511
asym,9,1
asym,13,511
asym,13,1
asym,5,1
asym,5,1
asym,22,255
asym,22,1
asym,26,1
asym,26,127
asym,7,1
asym,7,511
asym,24,2047
asym,24,1
asym,29,1
asym,29,127
asym,11,1023
asym,11,1
asym,3,1
asym,3,1
asym,16,127
asym,16,511
asym,5,1
asym,5,1
asym,25,255
asym,25,1
asym,0,1
asym,0,63
asym,23,1
asym,23,127
asym,27,2047
asym,27,1
asym,20,1
asym,20,1
asym,22,127
asym,22,1
asym,9,1
asym,9,1
asym,12,63
asym,12,255
asym,15,1
asym,15,255
asym,24,63
asym,24,1
asym,2,511
asym,2,1
asym,29,1
asym,29,15
asym,26,255
asym,26,1
asym,6,1023
asym,6,127
asym,17,1023
asym,17,1
asym,19,1
asym,19,1023
asym,10,511
asym,10,255
asym,23,1
asym,23,7
asym,8,1023
asym,8,1
asym,3,1
asym,3,1
asym,25,255
asym,25,1
asym,20,1
asym,20,255
asym,15,1
asym,15,1
asym,22,1
asym,22,1
asym,26,1
asym,26,127
asym,0,1
asym,0,127
asym,2,127
asym,2,1
asym,24,1
asym,24,1
asym,9,255
asym,9,1
asym,13,1023
asym,13,1
asym,6,1
asym,6,1
asym,16,511
asym,16,1
asym,29,1
asym,29,1
asym,25,1
asym,25,31
asym,27,511
asym,27,1
asym,19,1
asym,19,255
asym,23,511
asym,23,1
asym,8,1
asym,8,1
asym,12,255
asym,12,1
asym,15,1
asym,15,1
asym,17,1
asym,17,1
asym,3,255
asym,3,1
asym,0,1
asym,0,1
asym,5,1
asym,5,1023
asym,9,255
asym,9,1
asym,22,15
asym,22,1
asym,26,127
asym,26,127
asym,20,1
asym,20,1
asym,15,1
asym,15,1
asym,24,255
asym,24,1
asym,2,255
asym,2,1
asym,11,1023
asym,11,511
asym,29,1
asym,29,255
asym,6,1
asym,6,31
asym,8,63
asym,8,1
asym,13,511
asym,13,1
asym,26,1
asym,26,1
asym,19,1
asym,19,255
asym,27,127
asym,27,1
asym,25,7
asym,25,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,3,255
asym,3,1
asym,16,1
asym,16,511
asym,12,1
asym,12,1
asym,10,1023
asym,10,1
asym,23,1
asym,23,511
asym,0,1
asym,0,1
asym,7,2047
asym,7,127
asym,9,1
asym,9,63
asym,13,127
asym,13,1
asym,11,127
asym,11,1
asym,24,1
asym,24,127
asym,15,1
asym,15,63
asym,2,1
asym,2,1
asym,26,1
asym,26,1
asym,20,1
asym,20,255
asym,22,511
asym,22,1
asym,6,255
asym,6,1
asym,8,1
asym,8,1
asym,4,4095
asym,4,1
asym,27,1
asym,27,1
asym,17,1023
asym,17,1
asym,7,1
asym,7,1
asym,29,1
asym,29,511
asym,9,1
asym,9,1
asym,25,511
asym,25,1
asym,23,31
asym,23,1
asym,12,127
asym,12,1
asym,19,1
asym,19,63
asym,3,511
asym,3,7
asym,21,8191
asym,21,1
asym,14,8191
asym,14,1
asym,5,255
asym,5,1
asym,26,1
asym,26,1
asym,0,1
asym,0,127
asym,7,1
asym,7,1
asym,27,63
asym,27,1
asym,25,1
asym,25,63
asym,10,511
asym,10,255
asym,16,511
asym,16,1
asym,28,8191
asym,28,1
asym,22,63
asym,22,127
asym,20,255
asym,20,1
asym,11,31
asym,11,1
asym,15,127
asym,15,63
asym,17,1
asym,17,1
asym,13,511
asym,13,1
asym,4,1
asym,4,127
asym,2,511
asym,2,1
asym,26,1
asym,26,1
asym,23,31
asym,23,1
asym,29,127
asym,29,1
asym,6,511
asym,6,1
asym,8,1
asym,8,511
asym,10,1
asym,10,1
asym,27,127
asym,27,1
asym,22,31
asym,22,1
asym,24,511
asym,24,255
asym,16,1
asym,16,255
asym,14,127
asym,14,63
asym,21,63
asym,21,127
asym,0,1
asym,0,127
asym,25,127
asym,25,1
asym,12,255
asym,12,1
asym,3,255
asym,3,1
asym,5,511
asym,5,255
asym,28,127
asym,28,127
asym,17,511
asym,17,1
asym,0,1
asym,0,1
asym,7,511
asym,7,1
asym,26,1
asym,26,127
asym,19,1
asym,19,1023
asym,9,1023
asym,9,1
asym,22,1
asym,22,255
asym,24,1
asym,24,1
asym,15,255
asym,15,1
asym,6,15
asym,6,1
asym,4,511
asym,4,1
asym,2,1
asym,2,1
asym,13,255
asym,13,1
asym,29,127
asym,29,1
asym,8,127
asym,8,1
asym,11,1
asym,11,511
asym,0,1
asym,0,63
asym,20,31
asym,20,511
asym,28,1
asym,28,1
asym,23,255
asym,23,255
asym,7,1
asym,7,1
asym,25,127
asym,25,1
asym,5,127
asym,5,255
asym,19,1
asym,19,1
asym,16,1
asym,16,511
asym,27,511
asym,27,63
asym,11,1
asym,11,1
asym,21,255
asym,21,1
asym,3,511
asym,3,1
asym,14,511
asym,14,63
asym,2,255
asym,2,1
asym,29,1
asym,29,31
asym,12,63
asym,12,255
asym,6,3
asym,6,1
asym,8,1
asym,8,511
asym,24,31
asym,24,1
asym,15,127
asym,15,63
asym,13,255
asym,13,1
asym,10,1023
asym,10,1
asym,22,1
asym,22,511
asym,20,511
asym,20,1
asym,0,1
asym,0,255
asym,27,1
asym,27,1
asym,3,1
asym,3,1
asym,16,1
asym,16,127
asym,25,1
asym,25,1
asym,7,63
asym,7,31
asym,5,1
asym,5,511
asym,24,1
asym,24,1
asym,16,1
asym,16,1
asym,0,1
asym,0,1
asym,21,63
asym,21,1
asym,14,1
asym,14,255
asym,9,1023
asym,9,127
asym,12,127
asym,12,1
asym,2,1
asym,2,1
